Summoner Name,W/L,Date,Duration,K,D,A,KDA,CS
 T O X I C B O Y,Defeat,24daysago,39min,2,5,13,3.0,67CS
 T O X I C B O Y,Defeat,24daysago,30min,4,12,14,1.5,45CS
 T O X I C B O Y,Victory,24daysago,31min,2,9,14,1.78,34CS
 T O X I C B O Y,Victory,101daysago,31min,0,9,16,1.78,41CS
 T O X I C B O Y,Victory,101daysago,23min,2,1,12,14.0,38CS
 T O X I C B O Y,Victory,101daysago,32min,3,8,10,1.62,39CS
 T O X I C B O Y,Victory,103daysago,50min,2,12,35,3.08,59CS
 T O X I C B O Y,Victory,105daysago,26min,3,3,8,3.67,37CS
 T O X I C B O Y,Victory,107daysago,23min,7,1,11,18.0,46CS
 T O X I C B O Y,Victory,107daysago,36min,5,5,15,4.0,53CS
 T O X I C B O Y,Defeat,114daysago,20min,0,4,0,0.0,70CS
 T O X I C B O Y,Victory,114daysago,31min,4,3,8,4.0,37CS
 T O X I C B O Y,Defeat,119daysago,22min,2,1,3,5.0,122CS
 T O X I C B O Y,Defeat,119daysago,36min,2,3,1,1.0,289CS
 T O X I C B O Y,Defeat,173daysago,28min,4,9,4,0.89,51CS
 T O X I C B O Y,Victory,174daysago,35min,4,8,14,2.25,199CS
 T O X I C B O Y,Defeat,174daysago,29min,7,7,4,1.57,197CS
 T O X I C B O Y,Defeat,174daysago,28min,2,7,3,0.71,153CS
 T O X I C B O Y,Defeat,174daysago,29min,3,5,5,1.6,123CS
 T O X I C B O Y,Victory,185daysago,40min,3,9,30,3.67,37CS
 T O X I C B O Y,Victory,191daysago,24min,9,0,1,10.0,126CS
 T O X I C B O Y,Victory,199daysago,50min,14,4,17,7.75,271CS
 T O X I C B O Y,Victory,223daysago,24min,2,2,0,1.0,205CS
 T O X I C B O Y,Defeat,227daysago,30min,4,5,6,2.0,132CS
 T O X I C B O Y,Victory,234daysago,26min,1,2,3,2.0,167CS
 T O X I C B O Y,Defeat,234daysago,35min,1,7,1,0.29,252CS
 T O X I C B O Y,Victory,234daysago,32min,1,3,5,2.0,92CS
 T O X I C B O Y,Victory,234daysago,32min,3,3,8,3.67,167CS
 T O X I C B O Y,Defeat,235daysago,34min,2,9,10,1.33,136CS
 T O X I C B O Y,Defeat,235daysago,22min,0,4,5,1.25,39CS
 T O X I C B O Y,Victory,249daysago,27min,6,3,17,7.67,133CS
 T O X I C B O Y,Defeat,249daysago,21min,1,2,4,2.5,124CS
 T O X I C B O Y,Victory,251daysago,35min,3,4,15,4.5,152CS
 T O X I C B O Y,Victory,251daysago,27min,3,1,11,14.0,126CS
 T O X I C B O Y,Defeat,251daysago,20min,1,3,2,1.0,98CS
 T O X I C B O Y,Victory,252daysago,25min,4,4,4,2.0,156CS
 T O X I C B O Y,Victory,252daysago,37min,4,7,15,2.71,156CS
 T O X I C B O Y,Victory,254daysago,28min,2,2,0,1.0,174CS
