Summoner Name,Rank,W/L,Date,Duration (min),K,D,A,KDA,CS
albertsoto,Iron I,Victory,2020-12-10,33,6,12,18,2.0,23
albertsoto,Iron I,Defeat,2020-11-28,31,0,9,3,0.33,43
albertsoto,Iron I,Victory,2020-11-23,22,6,1,9,15.0,100
albertsoto,Iron I,Defeat,2020-11-22,38,5,14,5,0.71,41
albertsoto,Iron I,Defeat,2020-09-24,36,3,13,4,0.54,120
albertsoto,Iron I,Victory,2020-03-11,33,5,11,9,1.27,177
albertsoto,Iron I,Defeat,2020-03-05,42,19,15,11,2.0,249
albertsoto,Iron I,Victory,2020-03-05,33,4,9,10,1.56,116
albertsoto,Iron I,Defeat,2020-03-04,29,6,11,10,1.45,58
albertsoto,Iron I,Defeat,2020-03-04,20,5,10,3,0.8,36
albertsoto,Iron I,Defeat,2020-03-03,33,3,4,4,1.75,36
albertsoto,Iron I,Victory,2020-03-02,30,10,5,5,3.0,76
albertsoto,Iron I,Defeat,2020-03-02,29,3,11,9,1.09,99
albertsoto,Iron I,Victory,2020-03-02,33,10,6,19,4.83,76
albertsoto,Iron I,Defeat,2020-03-02,50,16,10,15,3.1,214
albertsoto,Iron I,Victory,2020-03-02,25,9,4,13,5.5,69
albertsoto,Iron I,Victory,2020-02-27,27,10,4,7,4.25,147
albertsoto,Iron I,Defeat,2020-02-27,25,8,8,2,1.25,107
albertsoto,Iron I,Defeat,2020-02-26,47,7,12,10,1.42,264
albertsoto,Iron I,Victory,2020-02-26,30,0,8,16,2.0,38
albertsoto,Iron I,Defeat,2020-02-20,36,10,18,7,0.94,129
albertsoto,Iron I,Defeat,2020-02-20,32,5,14,4,0.64,97
albertsoto,Iron I,Defeat,2020-02-20,21,3,9,2,0.56,111
albertsoto,Iron I,Defeat,2020-02-19,23,2,6,3,0.83,107
albertsoto,Iron I,Defeat,2020-02-19,23,1,6,3,0.67,131
albertsoto,Iron I,Victory,2020-02-19,25,1,4,2,0.75,59
albertsoto,Iron I,Victory,2020-02-10,25,10,5,6,3.2,120
albertsoto,Iron I,Defeat,2020-02-10,29,2,8,7,1.12,88
albertsoto,Iron I,Victory,2020-02-07,39,14,10,13,2.7,187
albertsoto,Iron I,Victory,2020-02-05,44,1,9,22,2.56,45
albertsoto,Iron I,Victory,2020-02-05,31,4,3,15,6.33,50
albertsoto,Iron I,Defeat,2020-02-05,34,4,10,8,1.2,36
albertsoto,Iron I,Defeat,2020-02-03,33,5,10,7,1.2,44
albertsoto,Iron I,Defeat,2020-02-03,29,3,9,5,0.89,110
albertsoto,Iron I,Defeat,2020-01-29,46,3,12,8,0.92,181
albertsoto,Iron I,Defeat,2020-01-27,30,7,10,10,1.7,106
albertsoto,Iron I,Defeat,2020-01-27,23,6,10,3,0.9,78
albertsoto,Iron I,Defeat,2020-01-20,30,7,15,6,0.87,135
albertsoto,Iron I,Defeat,2020-01-08,19,4,11,1,0.45,85
albertsoto,Iron I,Victory,2019-12-09,38,4,13,13,1.31,99
albertsoto,Iron I,Defeat,2019-12-09,25,5,11,2,0.64,99
albertsoto,Iron I,Defeat,2019-12-09,15,0,7,1,0.14,66
albertsoto,Iron I,Defeat,2019-11-28,40,6,11,11,1.55,163
albertsoto,Iron I,Defeat,2019-11-28,22,0,5,3,0.6,70
albertsoto,Iron I,Defeat,2019-11-27,30,10,8,5,1.88,64
albertsoto,Iron I,Defeat,2019-11-19,35,4,17,7,0.65,73
albertsoto,Iron I,Defeat,2019-10-16,23,1,6,1,0.33,58
albertsoto,Iron I,Defeat,2019-10-16,35,5,12,13,1.5,106
albertsoto,Iron I,Defeat,2019-10-01,26,2,8,1,0.38,94
albertsoto,Iron I,Victory,2019-06-21,32,8,4,11,4.75,141
albertsoto,Iron I,Defeat,2019-06-21,29,4,10,5,0.9,121
albertsoto,Iron I,Victory,2019-06-21,33,2,8,5,0.88,119
albertsoto,Iron I,Victory,2019-06-19,33,3,4,9,3.0,134
albertsoto,Iron I,Defeat,2019-06-07,26,1,3,1,0.67,62
albertsoto,Iron I,Defeat,2019-06-07,32,5,11,6,1.0,104
albertsoto,Iron I,Defeat,2019-06-03,25,4,5,3,1.4,120
albertsoto,Iron I,Defeat,2019-05-30,40,0,14,0,0.0,125
albertsoto,Iron I,Defeat,2019-05-29,19,1,8,4,0.62,59
albertsoto,Iron I,Defeat,2019-05-29,32,0,10,5,0.5,36
