Summoner Name,Rank,W/L,Date,Duration (min),K,D,A,KDA,CS
alex0906,Bronze I,Defeat,2020-08-10,38,3,9,13,1.78,34
alex0906,Bronze I,Defeat,2020-08-05,26,4,8,3,0.88,92
alex0906,Bronze I,Defeat,2020-08-05,30,2,10,9,1.1,31
alex0906,Bronze I,Victory,2020-08-03,41,7,13,11,1.38,215
alex0906,Bronze I,Defeat,2020-08-02,27,0,8,2,0.25,4
alex0906,Bronze I,Defeat,2020-08-02,36,5,12,12,1.42,144
alex0906,Bronze I,Defeat,2020-08-02,40,2,11,6,0.73,192
alex0906,Bronze I,Victory,2020-07-29,32,0,5,10,2.0,20
alex0906,Bronze I,Victory,2020-07-29,33,4,9,16,2.22,18
alex0906,Bronze I,Defeat,2020-07-29,27,1,12,9,0.83,30
alex0906,Bronze I,Defeat,2020-07-29,30,4,12,19,1.92,44
alex0906,Bronze I,Defeat,2020-07-28,24,0,1,1,1.0,8
alex0906,Bronze I,Victory,2020-07-28,48,3,12,34,3.08,41
alex0906,Bronze I,Victory,2020-07-28,22,2,1,12,14.0,8
alex0906,Bronze I,Defeat,2020-07-28,18,1,5,7,1.6,20
alex0906,Bronze I,Defeat,2020-07-28,26,1,9,9,1.11,5
