Summoner Name,W/L,Date,Duration (min),K,D,A,KDA,CS
Lopso,Defeat,2020-09-27,16,5,4,0,1.25,71
Lopso,Defeat,2020-09-27,17,1,2,2,1.5,129
Lopso,Defeat,2020-09-17,15,3,5,4,1.4,64
Lopso,Defeat,2020-09-03,35,5,9,9,1.56,153
Lopso,Defeat,2020-09-01,30,4,9,11,1.67,134
Lopso,Defeat,2020-07-26,40,4,7,13,2.43,206
Lopso,Defeat,2020-07-26,21,4,4,2,1.5,101
Lopso,Defeat,2020-05-02,28,3,4,2,1.25,153
Lopso,Victory,2020-05-02,36,8,7,8,2.29,224
Lopso,Victory,2020-04-25,20,1,1,1,2.0,135
Lopso,Victory,2020-04-25,29,6,2,5,5.5,190
Lopso,Victory,2020-04-25,33,2,3,11,4.33,222
Lopso,Defeat,2020-04-22,16,2,6,3,0.83,91
Lopso,Defeat,2020-04-22,19,0,2,3,1.5,105
Lopso,Defeat,2020-04-18,14,1,3,0,0.33,33
Lopso,Victory,2020-04-18,34,4,5,17,4.2,122
Lopso,Victory,2020-04-18,28,7,8,13,2.5,111
Lopso,Defeat,2020-04-18,21,1,3,1,0.67,115
Lopso,Defeat,2020-04-01,32,4,8,3,0.88,182
Lopso,Victory,2020-03-18,36,9,5,20,5.8,160
Lopso,Defeat,2020-03-17,15,0,3,1,0.33,81
Lopso,Defeat,2020-03-15,32,2,10,8,1.0,121
Lopso,Victory,2020-02-13,28,7,7,19,3.71,148
Lopso,Defeat,2020-01-12,23,1,4,4,1.25,95
Lopso,Victory,2020-01-12,38,5,9,13,2.0,184
Lopso,Victory,2020-01-12,29,3,6,6,1.5,159
Lopso,Defeat,2020-01-11,35,4,6,2,1.0,223
Lopso,Defeat,2020-01-11,34,3,7,3,0.86,178
Lopso,Victory,2020-01-11,28,3,3,10,4.33,141
Lopso,Victory,2020-01-11,22,2,3,4,2.0,106
Lopso,Victory,2020-01-11,37,9,8,8,2.12,183
Lopso,Defeat,2019-10-18,24,1,6,5,1.0,156
Lopso,Victory,2019-10-18,26,4,4,10,3.5,146
Lopso,Victory,2019-10-18,29,9,8,9,2.25,135
Lopso,Victory,2019-10-18,24,5,5,10,3.0,135
Lopso,Victory,2019-10-15,24,2,4,4,1.5,136
Lopso,Defeat,2019-10-13,29,1,5,4,1.0,125
Lopso,Victory,2019-10-13,34,8,2,7,7.5,229
Lopso,Defeat,2019-10-13,19,4,6,3,1.17,103
Lopso,Victory,2019-10-13,28,5,9,8,1.44,180
Lopso,Defeat,2019-10-13,19,5,6,2,1.17,115
Lopso,Victory,2019-10-13,30,6,2,11,8.5,200
Lopso,Defeat,2019-10-13,15,0,1,2,2.0,103
Lopso,Victory,2019-10-13,31,0,7,14,2.0,164
Lopso,Defeat,2019-10-13,34,2,7,7,1.29,191
Lopso,Defeat,2019-10-13,32,4,6,4,1.33,180
Lopso,Victory,2019-10-13,34,5,3,8,4.33,191
Lopso,Victory,2019-10-13,38,7,4,16,5.75,216
Lopso,Defeat,2019-09-30,23,8,5,13,4.2,102
Lopso,Defeat,2019-09-30,18,2,5,2,0.8,105
Lopso,Defeat,2019-09-30,27,5,8,4,1.12,144
Lopso,Defeat,2019-09-29,21,1,5,2,0.6,109
Lopso,Victory,2019-09-29,17,3,3,4,2.33,119
Lopso,Defeat,2019-09-29,26,2,11,7,0.82,97
Lopso,Victory,2019-09-29,21,8,5,10,3.6,99
Lopso,Defeat,2019-09-29,31,11,12,11,1.83,130
Lopso,Defeat,2019-09-23,30,4,10,7,1.1,157
Lopso,Victory,2019-09-23,29,3,5,14,3.4,173
Lopso,Defeat,2019-09-21,34,2,4,2,1.0,216
Lopso,Defeat,2019-09-16,30,14,6,4,3.0,202
Lopso,Defeat,2019-09-08,15,0,5,0,0.0,60
Lopso,Defeat,2019-08-02,17,0,3,0,0.0,72
Lopso,Victory,2019-07-21,31,1,9,8,1.0,117
Lopso,Victory,2019-07-21,22,7,2,6,6.5,119
Lopso,Victory,2019-07-18,28,11,4,6,4.25,110
Lopso,Defeat,2019-07-18,21,2,5,9,2.2,42
Lopso,Victory,2019-07-17,28,8,4,7,3.75,93
Lopso,Defeat,2019-07-15,20,9,9,2,1.22,83
Lopso,Defeat,2019-07-15,16,1,2,0,0.5,71
Lopso,Defeat,2019-07-15,21,3,6,1,0.67,70
Lopso,Victory,2019-07-14,33,7,6,6,2.17,141
Lopso,Victory,2019-07-14,20,3,1,7,10.0,90
Lopso,Victory,2019-07-14,22,3,6,16,3.17,85
Lopso,Defeat,2019-07-13,23,3,4,4,1.75,112
Lopso,Victory,2019-07-13,29,10,7,8,2.57,81
Lopso,Victory,2019-07-12,24,5,5,3,1.6,71
Lopso,Victory,2019-07-12,20,1,4,11,3.0,90
Lopso,Victory,2019-07-12,30,2,7,9,1.57,96
Lopso,Defeat,2019-07-12,20,1,5,7,1.6,16
Lopso,Victory,2019-07-12,31,1,9,14,1.67,22
Lopso,Defeat,2019-07-11,15,0,3,3,1.0,78
Lopso,Victory,2019-07-11,31,6,5,8,2.8,135
Lopso,Defeat,2019-07-11,18,1,5,0,0.2,68
Lopso,Victory,2019-07-11,34,4,4,12,4.0,143
Lopso,Victory,2019-07-11,36,8,5,10,3.6,148
Lopso,Victory,2019-07-11,25,6,8,11,2.12,107
Lopso,Victory,2019-07-11,22,4,4,7,2.75,97
Lopso,Victory,2019-07-10,37,9,9,9,2.0,116
Lopso,Victory,2019-07-10,24,1,8,7,1.0,115
Lopso,Defeat,2019-07-10,29,2,7,4,0.86,97
Lopso,Defeat,2019-07-10,29,6,9,5,1.22,131
Lopso,Victory,2019-07-10,31,1,7,8,1.29,126
Lopso,Defeat,2019-07-10,16,1,4,0,0.25,78
Lopso,Defeat,2019-07-07,32,9,6,5,2.33,204
Lopso,Victory,2019-07-07,26,2,6,15,2.83,133
Lopso,Defeat,2019-07-07,31,0,6,4,0.67,32
Lopso,Victory,2019-07-07,32,3,10,12,1.5,30
Lopso,Defeat,2019-07-07,35,0,8,11,1.38,19
Lopso,Victory,2019-07-07,30,0,6,19,3.17,13
Lopso,Defeat,2019-07-06,27,5,8,6,1.38,117
Lopso,Victory,2019-07-06,25,12,0,7,19.0,112
Lopso,Defeat,2019-07-06,22,2,6,2,0.67,79
Lopso,Defeat,2019-07-06,22,3,5,1,0.8,113
Lopso,Victory,2019-07-06,35,9,6,5,2.33,206
Lopso,Defeat,2019-07-06,21,4,3,3,2.33,111
Lopso,Defeat,2019-07-06,24,1,5,5,1.2,112
Lopso,Victory,2019-07-05,26,4,4,19,5.75,26
Lopso,Defeat,2019-07-05,33,3,7,16,2.71,11
Lopso,Defeat,2019-07-05,22,0,10,6,0.6,6
Lopso,Defeat,2019-07-05,34,4,6,13,2.83,9
Lopso,Defeat,2019-06-22,32,7,9,11,2.0,184
Lopso,Victory,2019-06-22,28,8,2,10,9.0,201
Lopso,Victory,2019-06-21,24,6,5,17,4.6,126
Lopso,Defeat,2019-06-19,31,6,4,12,4.5,197
Lopso,Victory,2019-06-19,32,5,4,7,3.0,220
Lopso,Defeat,2019-06-17,40,4,8,15,2.38,232
Lopso,Defeat,2019-06-16,18,5,4,5,2.5,138
Lopso,Victory,2019-06-16,38,15,5,18,6.6,283
Lopso,Victory,2019-06-14,26,9,6,5,2.33,149
Lopso,Victory,2019-01-27,17,5,2,9,7.0,130
Lopso,Defeat,2019-01-27,38,3,5,9,2.4,252
Lopso,Victory,2019-01-27,25,9,3,6,5.0,188
Cosa,Victory,2020-08-06,30,7,3,7,4.67,238
Cosa,Victory,2020-08-06,38,7,9,11,2.0,245
Cosa,Victory,2020-08-06,27,10,2,8,9.0,235
Cosa,Victory,2020-08-06,17,8,1,3,11.0,145
Cosa,Defeat,2020-08-06,24,4,5,3,1.4,191
Cosa,Victory,2020-05-30,28,19,5,4,4.6,216
Cosa,Defeat,2020-05-02,28,8,6,3,1.83,177
Cosa,Victory,2020-05-02,36,22,2,8,15.0,287
Cosa,Victory,2020-05-02,33,20,7,12,4.57,231
Cosa,Defeat,2020-04-25,27,9,5,7,3.2,177
Cosa,Victory,2020-04-25,33,14,0,12,26.0,283
Cosa,Defeat,2020-04-22,16,6,4,1,1.75,106
Cosa,Defeat,2020-04-22,19,9,3,3,4.0,142
Cosa,Defeat,2020-04-22,18,2,3,1,1.0,115
Cosa,Defeat,2020-04-19,29,10,7,4,2.0,170
Cosa,Defeat,2020-04-19,31,14,7,5,2.71,232
Cosa,Victory,2020-04-19,30,13,4,3,4.0,244
Cosa,Defeat,2020-04-19,22,7,4,2,2.25,143
Cosa,Defeat,2020-04-18,14,0,3,1,0.33,51
Cosa,Victory,2020-04-18,34,10,4,7,4.25,278
Cosa,Victory,2020-04-18,28,6,6,6,2.0,227
Cosa,Defeat,2020-04-18,21,6,5,2,1.6,119
Cosa,Victory,2020-02-09,23,17,2,5,11.0,187
Cosa,Victory,2020-02-09,33,5,8,13,2.25,202
Cosa,Defeat,2020-01-14,21,2,6,2,0.67,112
Cosa,Victory,2020-01-14,33,22,6,9,5.17,252
Cosa,Victory,2020-01-14,25,21,5,8,5.8,190
Cosa,Defeat,2020-01-14,33,16,7,11,3.86,234
Cosa,Defeat,2020-01-14,25,8,7,6,2.0,182
Cosa,Defeat,2020-01-14,20,2,4,3,1.25,153
Cosa,Defeat,2020-01-12,23,3,6,2,0.83,169
Cosa,Victory,2020-01-12,38,5,8,9,1.75,335
Cosa,Victory,2020-01-12,29,21,5,3,4.8,209
Cosa,Defeat,2020-01-10,37,19,9,8,3.0,246
Cosa,Defeat,2020-01-09,33,21,8,7,3.5,235
Cosa,Defeat,2020-01-09,15,1,4,0,0.25,83
Cosa,Victory,2020-01-09,37,6,7,10,2.29,236
Cosa,Defeat,2019-12-07,20,4,5,2,1.2,93
Cosa,Defeat,2019-12-07,24,5,4,4,2.25,178
Cosa,Defeat,2019-12-06,26,13,11,2,1.36,159
Cosa,Defeat,2019-12-06,28,16,6,8,4.0,186
Cosa,Victory,2019-12-06,32,16,6,7,3.83,276
