Summoner Name,Rank,W/L,Date,Duration (min),K,D,A,KDA,CS
bro,Challenger,Defeat,2020-10-31,21,0,8,4,0.5,62
bro,Challenger,Defeat,2020-10-31,15,0,3,1,0.33,24
bro,Challenger,Defeat,2020-10-31,25,1,7,4,0.71,147
bro,Challenger,Defeat,2020-10-30,15,2,7,1,0.43,69
bro,Challenger,Victory,2020-10-27,29,2,1,11,13.0,181
bro,Challenger,Victory,2020-10-27,29,6,6,13,3.17,160
bro,Challenger,Defeat,2020-10-27,21,1,6,0,0.17,115
bro,Challenger,Defeat,2020-10-27,24,8,9,6,1.56,119
bro,Challenger,Defeat,2020-10-26,27,0,4,2,0.5,174
bro,Challenger,Victory,2020-10-22,30,1,3,7,2.67,235
bro,Challenger,Defeat,2020-10-21,20,3,5,3,1.2,28
bro,Challenger,Defeat,2020-10-21,17,0,6,0,0.0,82
bro,Challenger,Defeat,2020-10-21,35,4,10,11,1.5,159
bro,Challenger,Defeat,2020-10-18,37,12,10,21,3.3,248
bro,Challenger,Victory,2020-10-17,31,10,4,21,7.75,159
bro,Challenger,Defeat,2020-10-17,19,5,5,4,1.8,111
bro,Challenger,Defeat,2020-10-17,25,2,7,5,1.0,152
bro,Challenger,Defeat,2020-10-17,23,2,5,8,2.0,136
bro,Challenger,Victory,2020-10-17,25,10,2,8,9.0,175
bro,Challenger,Victory,2020-10-12,32,10,5,9,3.8,289
bro,Challenger,Defeat,2020-10-12,20,3,4,0,0.75,146
bro,Challenger,Defeat,2020-10-12,22,3,2,2,2.5,185
bro,Challenger,Defeat,2020-10-12,31,5,8,8,1.62,195
bro,Challenger,Defeat,2020-10-12,24,2,4,4,1.5,151
bro,Challenger,Defeat,2020-10-12,21,1,6,5,1.0,139
bro,Challenger,Victory,2020-10-12,27,6,2,10,8.0,177
bro,Challenger,Victory,2020-10-12,29,7,3,7,4.67,202
bro,Challenger,Defeat,2020-10-07,25,2,0,3,5.0,201
bro,Challenger,Defeat,2020-10-05,21,1,7,1,0.29,159
bro,Challenger,Victory,2020-10-05,26,3,2,6,4.5,200
bro,Challenger,Victory,2020-10-05,19,11,0,0,11.0,163
bro,Challenger,Defeat,2020-10-05,24,4,2,5,4.5,197
bro,Challenger,Victory,2020-10-05,39,10,5,13,4.6,345
bro,Challenger,Victory,2020-10-05,26,9,2,6,7.5,238
bro,Challenger,Defeat,2020-10-03,25,5,4,2,1.75,173
bro,Challenger,Victory,2020-10-03,16,5,0,2,7.0,123
bro,Challenger,Defeat,2020-09-25,24,3,7,2,0.71,174
bro,Challenger,Defeat,2020-09-25,34,17,6,3,3.33,247
bro,Challenger,Defeat,2020-09-24,29,6,3,3,3.0,227
bro,Challenger,Defeat,2020-09-24,21,2,3,0,0.67,174
bro,Challenger,Victory,2020-09-24,25,11,1,9,20.0,181
bro,Challenger,Defeat,2020-09-24,31,5,6,7,2.0,165
bro,Challenger,Victory,2020-09-24,33,11,3,13,8.0,265
bro,Challenger,Victory,2020-09-24,38,12,1,13,25.0,298
bro,Challenger,Victory,2020-09-24,16,6,0,4,10.0,124
bro,Challenger,Defeat,2020-09-21,40,9,6,7,2.67,332
bro,Challenger,Defeat,2020-09-15,31,6,7,9,2.14,203
bro,Challenger,Defeat,2020-09-15,32,10,6,3,2.17,255
bro,Challenger,Victory,2020-09-14,22,6,1,5,11.0,178
bro,Challenger,Victory,2020-09-14,26,11,7,7,2.57,191
bro,Challenger,Defeat,2020-09-13,24,2,6,2,0.67,195
bro,Challenger,Defeat,2020-09-11,31,13,5,10,4.6,237
bro,Challenger,Victory,2020-09-11,25,15,1,7,22.0,228
bro,Challenger,Defeat,2020-09-11,22,5,5,2,1.4,134
bro,Challenger,Victory,2020-09-11,21,11,0,10,21.0,170
bro,Challenger,Victory,2020-09-11,19,6,1,8,14.0,143
bro,Challenger,Defeat,2020-09-11,31,4,6,6,1.67,207
bro,Challenger,Victory,2020-09-05,28,17,1,5,22.0,292
bro,Challenger,Victory,2020-09-04,26,5,2,7,6.0,224
bro,Challenger,Defeat,2020-09-03,23,6,6,5,1.83,170
bro,Challenger,Victory,2020-09-03,30,12,2,4,8.0,213
bro,Challenger,Defeat,2020-09-03,23,4,4,2,1.5,151
bro,Challenger,Victory,2020-09-03,18,4,2,7,5.5,132
bro,Challenger,Defeat,2020-09-02,35,11,3,5,5.33,240
bro,Challenger,Victory,2020-09-02,26,11,4,10,5.25,179
bro,Challenger,Defeat,2020-09-01,27,8,6,5,2.17,177
bro,Challenger,Victory,2020-09-01,23,12,2,7,9.5,197
bro,Challenger,Victory,2020-09-01,22,13,3,3,5.33,177
bro,Challenger,Victory,2020-08-31,25,5,2,13,9.0,161
bro,Challenger,Victory,2020-08-31,26,10,4,7,4.25,182
bro,Challenger,Victory,2020-08-24,18,3,4,1,1.0,127
bro,Challenger,Victory,2020-08-24,26,6,0,7,13.0,183
bro,Challenger,Victory,2020-08-24,25,8,3,3,3.67,165
bro,Challenger,Defeat,2020-08-24,23,7,6,6,2.17,133
bro,Challenger,Victory,2020-08-23,26,6,1,6,12.0,180
bro,Challenger,Victory,2020-08-23,29,9,2,8,8.5,182
bro,Challenger,Victory,2020-08-23,35,7,3,16,7.67,312
bro,Challenger,Victory,2020-08-22,32,11,3,6,5.67,259
bro,Challenger,Defeat,2020-08-22,39,13,4,11,6.0,276
bro,Challenger,Defeat,2020-08-19,31,5,7,3,1.14,189
bro,Challenger,Defeat,2020-08-19,28,6,2,4,5.0,198
bro,Challenger,Victory,2020-08-19,34,13,4,9,5.5,250
