Summoner Name,Rank,W/L,Date,Duration (min),K,D,A,KDA,CS
dracakplay1,Silver I,Defeat,2020-11-09,22,1,7,3,0.57,92
dracakplay1,Silver I,Victory,2020-11-09,25,5,2,10,7.5,127
dracakplay1,Silver I,Defeat,2020-10-23,30,1,8,5,0.75,47
dracakplay1,Silver I,Defeat,2020-09-17,22,3,7,1,0.57,123
dracakplay1,Silver I,Victory,2020-09-17,28,10,5,14,4.8,103
dracakplay1,Silver I,Defeat,2020-09-16,30,3,9,7,1.11,150
dracakplay1,Silver I,Victory,2020-09-16,33,17,9,11,3.11,199
dracakplay1,Silver I,Defeat,2020-09-16,19,3,6,2,0.83,94
dracakplay1,Silver I,Defeat,2020-08-29,39,12,11,11,2.09,198
dracakplay1,Silver I,Defeat,2020-08-29,20,0,11,4,0.36,24
dracakplay1,Silver I,Victory,2020-08-29,21,7,5,14,4.2,130
dracakplay1,Silver I,Victory,2020-08-29,29,10,2,4,7.0,224
dracakplay1,Silver I,Defeat,2020-08-28,40,12,11,12,2.18,188
dracakplay1,Silver I,Defeat,2020-08-27,31,5,13,7,0.92,123
dracakplay1,Silver I,Defeat,2020-08-25,28,6,7,9,2.14,162
dracakplay1,Silver I,Victory,2020-08-24,22,4,4,10,3.5,23
dracakplay1,Silver I,Victory,2020-08-24,32,1,10,11,1.2,179
dracakplay1,Silver I,Victory,2020-08-24,34,14,5,12,5.2,181
dracakplay1,Silver I,Victory,2020-08-21,32,4,7,5,1.29,199
dracakplay1,Silver I,Defeat,2020-08-15,23,9,10,5,1.4,74
dracakplay1,Silver I,Defeat,2020-08-15,44,2,12,9,0.92,233
dracakplay1,Silver I,Defeat,2020-08-15,30,4,11,3,0.64,134
dracakplay1,Silver I,Victory,2020-08-15,34,12,2,13,12.5,225
dracakplay1,Silver I,Victory,2020-08-15,26,2,4,13,3.75,160
dracakplay1,Silver I,Victory,2020-08-15,26,8,3,2,3.33,156
dracakplay1,Silver I,Victory,2020-08-15,21,5,1,2,7.0,187
dracakplay1,Silver I,Defeat,2020-08-15,32,7,11,6,1.18,165
dracakplay1,Silver I,Defeat,2020-08-08,48,17,13,6,1.77,193
dracakplay1,Silver I,Victory,2020-08-08,20,6,1,5,11.0,132
dracakplay1,Silver I,Defeat,2020-08-08,31,1,7,6,1.0,178
dracakplay1,Silver I,Victory,2020-08-08,19,10,1,3,13.0,118
dracakplay1,Silver I,Defeat,2020-08-04,36,8,11,14,2.0,151
dracakplay1,Silver I,Defeat,2020-08-04,15,0,6,3,0.5,22
dracakplay1,Silver I,Victory,2020-08-04,26,11,6,12,3.83,143
dracakplay1,Silver I,Defeat,2020-08-01,25,6,7,9,2.14,179
dracakplay1,Silver I,Victory,2020-06-14,32,7,5,14,4.2,201
dracakplay1,Silver I,Defeat,2020-06-10,37,13,12,9,1.83,169
dracakplay1,Silver I,Defeat,2020-06-10,19,2,4,3,1.25,111
dracakplay1,Silver I,Victory,2020-06-10,44,9,11,14,2.09,244
dracakplay1,Silver I,Victory,2020-06-10,18,12,0,6,18.0,101
dracakplay1,Silver I,Victory,2020-06-09,29,17,6,15,5.33,182
dracakplay1,Silver I,Victory,2020-06-09,27,0,7,6,0.86,143
dracakplay1,Silver I,Victory,2020-06-09,28,5,5,3,1.6,155
dracakplay1,Silver I,Victory,2020-06-09,24,8,3,6,4.67,178
dracakplay1,Silver I,Defeat,2020-06-04,31,6,6,3,1.5,153
dracakplay1,Silver I,Victory,2020-05-13,25,9,2,3,6.0,166
dracakplay1,Silver I,Defeat,2019-11-11,26,1,8,5,0.75,121
dracakplay1,Silver I,Defeat,2019-11-08,33,4,7,15,2.71,5
dracakplay1,Silver I,Defeat,2019-11-08,19,0,7,2,0.29,77
dracakplay1,Silver I,Defeat,2019-11-05,32,4,9,4,0.89,128
dracakplay1,Silver I,Victory,2019-11-05,25,2,3,4,2.0,127
dracakplay1,Silver I,Defeat,2019-11-04,28,5,10,8,1.3,54
dracakplay1,Silver I,Defeat,2019-11-03,30,3,7,5,1.14,149
dracakplay1,Silver I,Victory,2019-11-03,30,5,4,8,3.25,165
dracakplay1,Silver I,Defeat,2019-11-02,32,3,9,10,1.44,155
dracakplay1,Silver I,Defeat,2019-11-01,27,5,8,3,1.0,123
dracakplay1,Silver I,Victory,2019-11-01,26,4,3,10,4.67,102
dracakplay1,Silver I,Defeat,2019-10-10,21,0,7,4,0.57,69
