Summoner Name,Rank,W/L,Date,Duration (min),K,D,A,KDA,CS
el osito felpudo,Diamond I,Victory,2020-12-12,24,9,3,6,5.0,152
el osito felpudo,Diamond I,Victory,2020-12-12,33,7,6,6,2.17,239
el osito felpudo,Diamond I,Defeat,2020-12-12,37,7,7,7,2.0,250
el osito felpudo,Diamond I,Defeat,2020-12-12,25,6,5,2,1.6,128
el osito felpudo,Diamond I,Defeat,2020-12-12,31,8,9,15,2.56,147
el osito felpudo,Diamond I,Victory,2020-12-12,24,4,2,13,8.5,183
el osito felpudo,Diamond I,Victory,2020-12-12,12,2,2,5,3.5,64
el osito felpudo,Diamond I,Victory,2020-12-10,27,1,4,16,4.25,30
el osito felpudo,Diamond I,Victory,2020-12-10,28,0,3,9,3.0,158
el osito felpudo,Diamond I,Defeat,2020-12-10,24,4,4,3,1.75,176
el osito felpudo,Diamond I,Victory,2020-12-10,29,14,7,13,3.86,178
el osito felpudo,Diamond I,Victory,2020-12-09,26,2,3,12,4.67,90
el osito felpudo,Diamond I,Defeat,2020-12-09,36,8,6,5,2.17,260
el osito felpudo,Diamond I,Defeat,2020-12-09,24,4,6,1,0.83,137
el osito felpudo,Diamond I,Victory,2020-12-09,31,9,3,13,7.33,203
el osito felpudo,Diamond I,Defeat,2020-12-09,28,6,6,2,1.33,173
el osito felpudo,Diamond I,Victory,2020-12-08,30,5,5,10,3.0,196
el osito felpudo,Diamond I,Victory,2020-12-08,27,4,2,11,7.5,229
el osito felpudo,Diamond I,Victory,2020-12-08,20,1,0,5,6.0,182
el osito felpudo,Diamond I,Defeat,2020-12-08,16,0,2,4,2.0,1
el osito felpudo,Diamond I,Defeat,2020-12-08,23,1,5,7,1.6,134
el osito felpudo,Diamond I,Victory,2020-12-08,29,4,2,17,10.5,171
el osito felpudo,Diamond I,Defeat,2020-12-08,27,6,5,6,2.4,161
el osito felpudo,Diamond I,Victory,2020-12-08,29,12,1,10,22.0,230
el osito felpudo,Diamond I,Defeat,2020-12-08,23,3,8,4,0.88,145
el osito felpudo,Diamond I,Defeat,2020-12-08,19,1,6,2,0.5,110
el osito felpudo,Diamond I,Defeat,2020-12-08,24,3,3,6,3.0,128
el osito felpudo,Diamond I,Defeat,2020-11-18,25,2,9,3,0.56,142
el osito felpudo,Diamond I,Defeat,2020-11-18,22,0,7,4,0.57,7
el osito felpudo,Diamond I,Defeat,2020-11-18,34,4,7,9,1.86,204
el osito felpudo,Diamond I,Victory,2020-11-14,30,8,2,12,10.0,184
el osito felpudo,Diamond I,Victory,2020-11-14,27,5,2,5,5.0,183
el osito felpudo,Diamond I,Victory,2020-11-14,26,7,4,14,5.25,196
el osito felpudo,Diamond I,Defeat,2020-11-14,30,3,8,10,1.62,177
el osito felpudo,Diamond I,Victory,2020-11-13,19,1,1,5,6.0,114
el osito felpudo,Diamond I,Victory,2020-11-13,30,7,4,8,3.75,215
el osito felpudo,Diamond I,Defeat,2020-11-13,23,5,4,4,2.25,132
el osito felpudo,Diamond I,Victory,2020-11-13,24,7,4,9,4.0,162
el osito felpudo,Diamond I,Victory,2020-11-13,24,4,4,9,3.25,185
el osito felpudo,Diamond I,Defeat,2020-11-13,30,3,7,2,0.71,183
el osito felpudo,Diamond I,Defeat,2020-11-13,23,1,6,5,1.0,107
el osito felpudo,Diamond I,Defeat,2020-11-13,26,9,4,7,4.0,161
el osito felpudo,Diamond I,Defeat,2020-11-13,37,10,10,10,2.0,261
el osito felpudo,Diamond I,Victory,2020-11-13,29,5,2,3,4.0,195
el osito felpudo,Diamond I,Victory,2020-11-12,35,5,1,13,18.0,194
el osito felpudo,Diamond I,Defeat,2020-11-10,19,3,2,0,1.5,124
el osito felpudo,Diamond I,Defeat,2020-11-10,15,0,3,0,0.0,96
el osito felpudo,Diamond I,Defeat,2020-11-10,27,1,4,3,1.0,193
el osito felpudo,Diamond I,Victory,2020-11-10,20,10,3,6,5.33,113
el osito felpudo,Diamond I,Defeat,2020-11-08,30,5,2,4,4.5,197
el osito felpudo,Diamond I,Victory,2020-11-07,25,4,0,8,12.0,177
el osito felpudo,Diamond I,Victory,2020-11-06,28,5,3,6,3.67,190
el osito felpudo,Diamond I,Defeat,2020-11-06,24,4,5,2,1.2,180
el osito felpudo,Diamond I,Victory,2020-11-05,34,8,3,7,5.0,254
el osito felpudo,Diamond I,Defeat,2020-11-05,43,1,7,18,2.71,208
el osito felpudo,Diamond I,Defeat,2020-11-04,27,1,5,8,1.8,167
el osito felpudo,Diamond I,Victory,2020-11-04,31,7,2,12,9.5,188
el osito felpudo,Diamond I,Defeat,2020-11-04,15,1,6,2,0.5,48
el osito felpudo,Diamond I,Defeat,2020-11-04,17,1,6,0,0.17,92
el osito felpudo,Diamond I,Defeat,2020-11-04,28,3,7,6,1.29,156
el osito felpudo,Diamond I,Victory,2020-11-03,32,4,2,10,7.0,156
el osito felpudo,Diamond I,Defeat,2020-11-03,29,6,8,5,1.38,184
el osito felpudo,Diamond I,Victory,2020-10-31,16,2,1,6,8.0,113
el osito felpudo,Diamond I,Victory,2020-10-31,40,4,7,13,2.43,172
el osito felpudo,Diamond I,Victory,2020-10-31,26,5,3,4,3.0,163
el osito felpudo,Diamond I,Victory,2020-10-24,16,2,1,5,7.0,109
el osito felpudo,Diamond I,Victory,2020-10-24,29,8,2,13,10.5,222
el osito felpudo,Diamond I,Victory,2020-10-24,36,7,5,13,4.0,186
el osito felpudo,Diamond I,Defeat,2020-10-24,31,3,8,6,1.12,214
el osito felpudo,Diamond I,Victory,2020-10-23,25,3,4,10,3.25,158
el osito felpudo,Diamond I,Defeat,2020-10-23,15,0,3,1,0.33,98
el osito felpudo,Diamond I,Victory,2020-10-23,28,12,4,9,5.25,187
el osito felpudo,Diamond I,Victory,2020-10-22,30,7,1,11,18.0,176
el osito felpudo,Diamond I,Defeat,2020-10-20,16,0,4,0,0.0,100
el osito felpudo,Diamond I,Defeat,2020-10-20,25,1,6,3,0.67,149
el osito felpudo,Diamond I,Victory,2020-10-20,29,3,4,5,2.0,210
el osito felpudo,Diamond I,Victory,2020-10-20,28,3,2,3,3.0,205
el osito felpudo,Diamond I,Defeat,2020-10-20,28,1,2,5,3.0,171
el osito felpudo,Diamond I,Victory,2020-10-19,23,2,2,10,6.0,185
el osito felpudo,Diamond I,Victory,2020-10-19,37,3,0,18,21.0,14
el osito felpudo,Diamond I,Defeat,2020-10-19,33,4,5,7,2.2,185
