Summoner Name,Rank,W/L,Date,Duration (min),K,D,A,KDA,CS
farcom,Iron I,Victory,2020-07-17,29,8,4,15,5.75,138
farcom,Iron I,Victory,2020-07-17,33,13,4,15,7.0,166
farcom,Iron I,Defeat,2020-07-12,23,1,9,3,0.44,68
farcom,Iron I,Defeat,2020-07-12,43,9,9,11,2.22,103
farcom,Iron I,Victory,2020-07-12,33,5,4,10,3.75,126
farcom,Iron I,Victory,2020-07-12,42,9,10,12,2.1,147
farcom,Iron I,Victory,2020-06-21,27,7,2,6,6.5,17
farcom,Iron I,Victory,2020-06-20,21,7,3,7,4.67,40
farcom,Iron I,Defeat,2020-06-20,25,1,7,5,0.86,14
farcom,Iron I,Defeat,2020-06-14,33,1,10,9,1.0,31
farcom,Iron I,Defeat,2020-06-14,33,3,8,12,1.88,30
farcom,Iron I,Victory,2020-06-14,30,4,2,7,5.5,71
