Summoner Name,Rank,W/L,Date,Duration (min),K,D,A,KDA,CS
kronno timer,Bronze I,Victory,2020-11-02,22,8,2,3,5.5,144
kronno timer,Bronze I,Victory,2020-11-02,22,9,1,3,12.0,131
kronno timer,Bronze I,Victory,2020-09-29,26,17,3,6,7.67,186
kronno timer,Bronze I,Victory,2020-09-29,27,12,2,9,10.5,220
kronno timer,Bronze I,Victory,2020-09-28,30,12,6,5,2.83,206
kronno timer,Bronze I,Defeat,2020-09-28,41,9,7,8,2.43,239
kronno timer,Bronze I,Victory,2020-09-28,17,3,0,1,4.0,141
kronno timer,Bronze I,Victory,2020-09-28,22,4,4,7,2.75,139
kronno timer,Bronze I,Victory,2020-09-24,40,18,5,8,5.2,237
kronno timer,Bronze I,Defeat,2020-09-19,31,8,7,2,1.43,183
kronno timer,Bronze I,Victory,2020-02-21,34,10,11,7,1.55,77
kronno timer,Bronze I,Victory,2020-02-21,23,8,4,8,4.0,187
kronno timer,Bronze I,Victory,2020-02-21,32,19,8,6,3.12,240
kronno timer,Bronze I,Defeat,2020-01-24,27,4,8,5,1.12,181
kronno timer,Bronze I,Victory,2020-01-13,23,14,0,3,17.0,128
kronno timer,Bronze I,Defeat,2020-01-13,15,0,0,0,0.0,55
kronno timer,Bronze I,Defeat,2020-01-13,26,1,4,6,1.75,115
