Summoner Name,Rank,W/L,Date,Duration (min),K,D,A,KDA,CS
lards,Diamond I,Defeat,2020-12-04,19,1,5,2,0.6,96
lards,Diamond I,Victory,2020-12-04,23,6,4,10,4.0,147
lards,Diamond I,Victory,2020-12-04,25,1,3,12,4.33,146
lards,Diamond I,Defeat,2020-12-04,32,0,12,18,1.5,46
lards,Diamond I,Defeat,2020-12-04,41,6,5,8,2.8,300
lards,Diamond I,Defeat,2020-12-04,19,3,2,1,2.0,120
lards,Diamond I,Victory,2020-12-04,32,2,5,14,3.2,213
lards,Diamond I,Defeat,2020-12-03,20,2,3,2,1.33,123
lards,Diamond I,Defeat,2020-12-03,34,0,4,6,1.5,278
lards,Diamond I,Victory,2020-12-03,26,4,3,8,4.0,213
lards,Diamond I,Victory,2020-11-30,23,9,2,11,10.0,175
lards,Diamond I,Victory,2020-11-30,30,7,3,9,5.33,219
lards,Diamond I,Defeat,2020-11-30,22,1,11,4,0.45,113
lards,Diamond I,Defeat,2020-11-30,30,2,8,5,0.88,234
lards,Diamond I,Victory,2020-11-30,32,8,5,4,2.4,196
lards,Diamond I,Defeat,2020-11-30,19,1,5,4,1.0,132
lards,Diamond I,Victory,2020-11-30,28,5,4,7,3.0,217
lards,Diamond I,Victory,2020-11-30,33,8,8,15,2.88,173
lards,Diamond I,Victory,2020-11-23,22,7,2,8,7.5,166
lards,Diamond I,Victory,2020-11-23,34,8,7,8,2.29,190
lards,Diamond I,Victory,2020-11-21,31,7,6,10,2.83,185
lards,Diamond I,Victory,2020-11-21,23,12,0,7,19.0,175
lards,Diamond I,Defeat,2020-11-21,34,9,8,10,2.38,231
lards,Diamond I,Defeat,2020-11-21,27,8,2,4,6.0,177
lards,Diamond I,Defeat,2020-11-21,28,13,4,8,5.25,169
lards,Diamond I,Victory,2020-11-21,31,4,8,5,1.12,217
lards,Diamond I,Victory,2020-11-20,22,6,1,7,13.0,165
lards,Diamond I,Victory,2020-11-20,30,7,6,5,2.0,220
lards,Diamond I,Victory,2020-11-20,21,7,4,6,3.25,159
lards,Diamond I,Victory,2020-11-18,31,4,6,11,2.5,170
lards,Diamond I,Victory,2020-11-18,29,4,2,10,7.0,32
lards,Diamond I,Victory,2020-11-18,35,4,12,9,1.08,224
lards,Diamond I,Defeat,2020-11-18,33,10,4,1,2.75,219
lards,Diamond I,Victory,2020-11-17,29,12,7,10,3.14,181
lards,Diamond I,Victory,2020-11-17,24,10,2,7,8.5,220
lards,Diamond I,Victory,2020-11-17,25,10,5,7,3.4,178
lards,Diamond I,Defeat,2020-11-17,14,0,3,2,0.67,35
lards,Diamond I,Defeat,2020-11-17,21,1,4,0,0.25,144
lards,Diamond I,Defeat,2020-11-17,35,12,5,3,3.0,204
lards,Diamond I,Defeat,2020-11-17,12,1,0,3,4.0,23
lards,Diamond I,Victory,2020-11-17,30,15,5,6,4.2,149
lards,Diamond I,Victory,2020-11-17,32,10,2,9,9.5,223
lards,Diamond I,Victory,2020-11-16,45,14,8,14,3.5,326
lards,Diamond I,Defeat,2020-11-16,23,2,6,1,0.5,114
lards,Diamond I,Victory,2020-11-16,27,9,3,4,4.33,208
lards,Diamond I,Victory,2020-11-16,27,6,3,12,6.0,174
lards,Diamond I,Defeat,2020-11-16,21,2,9,3,0.56,111
lards,Diamond I,Defeat,2020-11-16,22,5,4,4,2.25,151
lards,Diamond I,Defeat,2020-11-16,36,7,8,12,2.38,188
lards,Diamond I,Defeat,2020-11-16,34,13,8,11,3.0,218
lards,Diamond I,Victory,2020-11-16,26,11,2,3,7.0,209
lards,Diamond I,Victory,2020-11-16,25,10,6,8,3.0,134
lards,Diamond I,Victory,2020-11-16,32,7,7,12,2.71,162
lards,Diamond I,Defeat,2020-11-16,27,4,13,8,0.92,170
lards,Diamond I,Defeat,2020-11-15,20,4,5,2,1.2,126
lards,Diamond I,Victory,2020-11-15,44,9,8,12,2.62,283
lards,Diamond I,Defeat,2020-11-15,24,7,8,6,1.62,133
lards,Diamond I,Defeat,2020-11-15,35,10,4,2,3.0,308
lards,Diamond I,Victory,2020-11-15,27,4,5,10,2.8,188
lards,Diamond I,Victory,2020-11-15,22,9,1,8,17.0,180
lards,Diamond I,Victory,2020-11-15,32,14,2,13,13.5,251
lards,Diamond I,Defeat,2020-11-15,23,2,9,2,0.44,166
lards,Diamond I,Victory,2020-11-15,15,1,1,4,5.0,19
lards,Diamond I,Defeat,2020-11-15,23,1,2,1,1.0,164
lards,Diamond I,Defeat,2020-11-15,24,6,2,1,3.5,159
lards,Diamond I,Defeat,2020-11-15,18,3,3,3,2.0,138
lards,Diamond I,Victory,2020-11-15,33,5,6,1,1.0,219
lards,Diamond I,Victory,2020-11-14,39,15,5,10,5.0,238
lards,Diamond I,Victory,2020-11-14,23,4,4,1,1.25,147
lards,Diamond I,Victory,2020-11-14,40,2,8,16,2.25,189
lards,Diamond I,Defeat,2020-11-14,36,2,11,12,1.27,65
lards,Diamond I,Defeat,2020-11-14,32,7,6,12,3.17,221
lards,Diamond I,Defeat,2020-11-14,23,0,3,5,1.67,123
lards,Diamond I,Victory,2020-11-10,32,8,10,19,2.7,191
lards,Diamond I,Victory,2020-11-10,28,9,6,5,2.33,199
lards,Diamond I,Defeat,2020-11-09,37,13,8,10,2.88,340
lards,Diamond I,Victory,2020-11-09,35,16,4,7,5.75,355
lards,Diamond I,Victory,2020-11-09,15,7,1,5,12.0,105
lards,Diamond I,Defeat,2020-11-09,29,4,12,5,0.75,182
lards,Diamond I,Victory,2020-11-09,28,7,5,6,2.6,250
lards,Diamond I,Defeat,2020-11-09,43,11,7,7,2.57,288
lards,Diamond I,Victory,2020-11-09,20,1,7,6,1.0,133
lards,Diamond I,Defeat,2020-11-09,28,6,4,1,1.75,199
lards,Diamond I,Victory,2020-11-09,27,12,2,5,8.5,251
lards,Diamond I,Victory,2020-11-09,21,6,2,3,4.5,142
lards,Diamond I,Victory,2020-11-09,18,3,2,5,4.0,129
lards,Diamond I,Defeat,2020-11-09,29,10,4,8,4.5,194
lards,Diamond I,Defeat,2020-11-09,30,4,12,3,0.58,51
lards,Diamond I,Defeat,2020-11-08,26,1,5,2,0.6,175
lards,Diamond I,Victory,2020-11-08,30,2,5,5,1.4,230
lards,Diamond I,Defeat,2020-11-08,27,0,10,14,1.4,35
lards,Diamond I,Defeat,2020-11-08,28,5,6,11,2.67,179
lards,Diamond I,Defeat,2020-11-08,38,13,10,15,2.8,195
lards,Diamond I,Defeat,2020-11-08,25,1,8,7,1.0,43
lards,Diamond I,Defeat,2020-11-08,15,0,3,0,0.0,93
lards,Diamond I,Victory,2020-11-08,35,1,8,21,2.75,38
lards,Diamond I,Defeat,2020-11-08,25,6,8,2,1.0,129
lards,Diamond I,Victory,2020-11-08,23,9,6,6,2.5,131
lards,Diamond I,Victory,2020-11-08,24,8,1,9,17.0,195
lards,Diamond I,Victory,2020-11-08,32,8,4,14,5.5,218
lards,Diamond I,Victory,2020-11-07,27,6,4,4,2.5,207
lards,Diamond I,Defeat,2020-11-07,30,7,6,2,1.5,215
lards,Diamond I,Victory,2020-11-07,29,11,5,13,4.8,197
lards,Diamond I,Defeat,2020-11-07,30,9,7,7,2.29,202
lards,Diamond I,Defeat,2020-11-07,18,2,3,0,0.67,31
lards,Diamond I,Defeat,2020-11-07,23,3,6,5,1.33,43
lards,Diamond I,Victory,2020-11-07,31,10,4,12,5.5,218
lards,Diamond I,Defeat,2020-11-07,20,6,5,6,2.4,107
lards,Diamond I,Victory,2020-11-07,19,6,4,2,2.0,142
lards,Diamond I,Defeat,2020-11-07,27,4,8,4,1.0,120
lards,Diamond I,Victory,2020-11-07,25,8,1,7,15.0,191
lards,Diamond I,Defeat,2020-11-07,18,4,5,1,1.0,110
lards,Diamond I,Defeat,2020-11-07,17,1,5,1,0.4,87
lards,Diamond I,Victory,2020-11-07,28,4,1,10,14.0,252
lards,Diamond I,Victory,2020-11-07,28,2,7,17,2.71,145
lards,Diamond I,Defeat,2020-11-07,21,0,3,4,1.33,163
lards,Diamond I,Defeat,2020-11-07,32,5,7,8,1.86,248
lards,Diamond I,Defeat,2020-11-07,22,1,6,0,0.17,142
lards,Diamond I,Victory,2020-11-07,28,2,2,19,10.5,39
lards,Diamond I,Defeat,2020-11-07,26,5,6,1,1.0,182
lards,Diamond I,Defeat,2020-11-07,15,1,4,4,1.25,99
lards,Diamond I,Victory,2020-11-07,37,7,9,18,2.78,297
lards,Diamond I,Victory,2020-11-06,15,5,2,5,5.0,114
lards,Diamond I,Victory,2020-11-06,36,10,5,5,3.0,239
lards,Diamond I,Defeat,2020-11-06,16,1,4,0,0.25,83
lards,Diamond I,Defeat,2020-11-06,25,5,4,4,2.25,137
lards,Diamond I,Defeat,2020-11-06,15,4,1,1,5.0,108
lards,Diamond I,Defeat,2020-11-06,20,2,5,1,0.6,134
lards,Diamond I,Defeat,2020-11-06,15,0,2,2,1.0,126
lards,Diamond I,Victory,2020-11-06,22,6,3,2,2.67,166
lards,Diamond I,Defeat,2020-11-06,24,6,7,4,1.43,163
lards,Diamond I,Defeat,2020-11-06,25,0,3,6,2.0,28
lards,Diamond I,Defeat,2020-11-05,15,2,5,2,0.8,40
lards,Diamond I,Victory,2020-11-05,25,4,4,2,1.5,179
lards,Diamond I,Defeat,2020-11-05,35,8,5,4,2.4,311
lards,Diamond I,Defeat,2020-11-05,23,0,2,1,0.5,145
lards,Diamond I,Victory,2020-11-05,26,3,3,7,3.33,202
lards,Diamond I,Defeat,2020-11-05,16,1,2,1,1.0,111
lards,Diamond I,Defeat,2020-11-05,33,1,8,11,1.5,27
lards,Diamond I,Victory,2020-11-05,25,6,2,14,10.0,158
lards,Diamond I,Victory,2020-11-05,22,1,4,4,1.25,140
lards,Diamond I,Victory,2020-11-05,30,6,5,4,2.0,149
lards,Diamond I,Victory,2020-11-05,38,3,6,4,1.17,275
lards,Diamond I,Defeat,2020-11-05,33,6,7,8,2.0,158
lards,Diamond I,Defeat,2020-11-04,31,6,1,6,12.0,263
lards,Diamond I,Defeat,2020-11-04,29,3,6,5,1.33,157
lards,Diamond I,Victory,2020-11-04,35,7,1,6,13.0,215
lards,Diamond I,Defeat,2020-11-04,44,7,8,15,2.75,342
lards,Diamond I,Defeat,2020-11-04,20,4,2,4,4.0,131
lards,Diamond I,Defeat,2020-11-04,23,0,6,6,1.0,112
lards,Diamond I,Victory,2020-11-04,27,7,4,7,3.5,203
lards,Diamond I,Victory,2020-11-04,15,0,1,8,8.0,24
lards,Diamond I,Victory,2020-11-04,21,8,2,3,5.5,108
lards,Diamond I,Victory,2020-11-04,21,7,5,2,1.8,130
lards,Diamond I,Defeat,2020-11-03,29,5,3,3,2.67,231
