Summoner Name,Rank,W/L,Date,Duration (min),K,D,A,KDA,CS
letal endry,Silver I,Defeat,2020-12-12,32,10,6,2,2.0,202
letal endry,Silver I,Defeat,2020-12-09,34,9,12,11,1.67,51
letal endry,Silver I,Defeat,2020-12-02,33,5,12,6,0.92,183
letal endry,Silver I,Victory,2020-12-02,20,5,3,5,3.33,135
letal endry,Silver I,Victory,2020-11-28,23,12,1,8,20.0,126
letal endry,Silver I,Defeat,2020-11-10,31,3,9,0,0.33,252
letal endry,Silver I,Defeat,2020-11-10,30,13,6,6,3.17,219
letal endry,Silver I,Victory,2020-11-10,23,19,4,6,6.25,122
letal endry,Silver I,Defeat,2020-11-10,25,6,8,10,2.0,142
letal endry,Silver I,Victory,2020-11-10,19,5,2,12,8.5,117
letal endry,Silver I,Victory,2020-11-10,29,8,3,4,4.0,160
letal endry,Silver I,Victory,2020-11-10,24,7,0,10,17.0,170
letal endry,Silver I,Defeat,2020-09-20,37,2,12,2,0.33,69
letal endry,Silver I,Defeat,2020-09-17,34,3,4,7,2.5,195
letal endry,Silver I,Defeat,2020-09-17,37,10,7,10,2.86,241
letal endry,Silver I,Victory,2020-09-17,36,7,5,19,5.2,274
letal endry,Silver I,Defeat,2020-09-17,39,5,9,9,1.56,45
letal endry,Silver I,Victory,2020-09-17,26,7,5,11,3.6,182
letal endry,Silver I,Defeat,2020-09-17,28,6,7,6,1.71,125
letal endry,Silver I,Defeat,2020-09-16,35,15,6,8,3.83,245
letal endry,Silver I,Victory,2020-09-08,37,15,12,12,2.25,157
letal endry,Silver I,Defeat,2020-08-23,23,2,8,0,0.25,110
letal endry,Silver I,Victory,2020-08-23,32,6,6,10,2.67,179
letal endry,Silver I,Victory,2020-08-19,31,7,8,10,2.12,130
letal endry,Silver I,Defeat,2020-08-19,16,1,4,0,0.25,94
letal endry,Silver I,Defeat,2020-08-18,37,4,8,17,2.62,194
letal endry,Silver I,Defeat,2020-08-18,36,4,9,5,1.0,192
letal endry,Silver I,Defeat,2020-08-14,41,9,10,15,2.4,192
letal endry,Silver I,Victory,2020-08-14,34,4,8,14,2.25,156
letal endry,Silver I,Victory,2020-08-13,25,8,1,4,12.0,169
letal endry,Silver I,Defeat,2020-08-13,37,5,9,11,1.78,185
letal endry,Silver I,Victory,2020-08-12,17,5,0,5,10.0,116
letal endry,Silver I,Victory,2020-08-09,27,4,7,5,1.29,203
letal endry,Silver I,Victory,2020-08-09,32,7,6,4,1.83,164
letal endry,Silver I,Victory,2020-08-09,24,0,2,8,4.0,2
letal endry,Silver I,Victory,2020-08-09,35,6,4,17,5.75,175
letal endry,Silver I,Victory,2020-08-09,38,7,7,21,4.0,201
letal endry,Silver I,Victory,2020-08-09,26,12,5,7,3.8,121
letal endry,Silver I,Victory,2020-08-09,24,5,5,3,1.6,114
letal endry,Silver I,Victory,2020-08-09,30,4,6,10,2.33,136
letal endry,Silver I,Victory,2020-06-28,29,11,6,7,3.0,165
letal endry,Silver I,Victory,2020-04-19,28,5,3,5,3.33,162
letal endry,Silver I,Defeat,2020-04-19,36,10,10,10,2.0,166
letal endry,Silver I,Defeat,2020-04-19,34,6,10,6,1.2,183
letal endry,Silver I,Victory,2019-10-05,15,13,1,1,14.0,111
letal endry,Silver I,Victory,2019-10-05,39,5,6,21,4.33,250
letal endry,Silver I,Victory,2019-09-26,31,17,5,17,6.8,158
letal endry,Silver I,Victory,2019-09-23,21,5,4,2,1.75,118
letal endry,Silver I,Victory,2019-09-16,22,11,0,2,13.0,128
letal endry,Silver I,Victory,2019-09-16,27,17,1,8,25.0,160
letal endry,Silver I,Victory,2019-09-16,18,11,1,2,13.0,90
letal endry,Silver I,Victory,2019-09-16,35,5,6,16,3.5,56
letal endry,Silver I,Victory,2019-09-15,20,11,4,3,3.5,136
letal endry,Silver I,Defeat,2019-09-15,31,14,9,4,2.0,163
letal endry,Silver I,Victory,2019-09-15,21,11,6,8,3.17,96
letal endry,Silver I,Victory,2019-09-15,34,13,8,17,3.75,64
letal endry,Silver I,Defeat,2019-09-15,19,3,9,0,0.33,103
letal endry,Silver I,Victory,2019-09-14,19,6,2,5,5.5,119
letal endry,Silver I,Victory,2019-09-14,20,10,3,7,5.67,115
letal endry,Silver I,Victory,2019-09-14,23,3,5,9,2.4,130
letal endry,Silver I,Victory,2019-09-14,24,7,5,10,3.4,137
letal endry,Silver I,Victory,2019-09-11,27,8,5,9,3.4,99
letal endry,Silver I,Victory,2019-09-11,36,16,7,13,4.14,153
letal endry,Silver I,Defeat,2019-09-11,44,19,10,13,3.2,152
letal endry,Silver I,Victory,2019-09-11,28,11,3,8,6.33,136
letal endry,Silver I,Victory,2019-09-11,32,10,6,9,3.17,145
letal endry,Silver I,Defeat,2019-09-11,26,12,4,6,4.5,91
letal endry,Silver I,Victory,2019-09-10,21,10,3,1,3.67,98
letal endry,Silver I,Victory,2019-09-10,19,12,0,1,13.0,132
letal endry,Silver I,Defeat,2019-09-10,28,15,9,4,2.11,138
letal endry,Silver I,Defeat,2019-09-10,33,7,9,4,1.22,110
letal endry,Silver I,Defeat,2019-07-20,30,4,8,1,0.62,91
letal endry,Silver I,Victory,2019-07-20,34,22,7,6,4.0,206
letal endry,Silver I,Defeat,2019-07-20,31,12,9,1,1.44,155
letal endry,Silver I,Defeat,2019-07-18,34,13,12,5,1.5,41
letal endry,Silver I,Defeat,2019-07-16,29,10,9,7,1.89,135
letal endry,Silver I,Defeat,2019-07-15,21,5,10,4,0.9,90
letal endry,Silver I,Victory,2019-07-14,31,8,4,4,3.0,110
letal endry,Silver I,Defeat,2019-07-14,21,3,6,1,0.67,63
letal endry,Silver I,Victory,2019-07-14,31,10,6,7,2.83,155
letal endry,Silver I,Defeat,2019-07-09,37,6,6,9,2.5,78
letal endry,Silver I,Defeat,2019-07-08,34,3,12,2,0.42,80
letal endry,Silver I,Defeat,2019-07-07,24,2,11,1,0.27,58
