Summoner Name,W/L,Date,Duration (min),K,D,A,KDA,CS
lumaxile,Defeat,2020-11-18,36,8,7,6,2.0,214
lumaxile,Defeat,2020-11-18,37,11,6,7,3.0,213
lumaxile,Victory,2020-11-18,25,14,5,6,4.0,159
lumaxile,Victory,2020-11-13,29,21,5,9,6.0,192
lumaxile,Defeat,2020-11-13,31,4,8,7,1.38,188
lumaxile,Defeat,2020-10-18,32,10,6,6,2.67,195
lumaxile,Victory,2020-10-18,28,12,3,6,6.0,204
lumaxile,Defeat,2020-09-01,27,10,9,6,1.78,150
lumaxile,Defeat,2020-09-01,41,19,8,10,3.62,209
lumaxile,Defeat,2020-09-01,34,5,8,6,1.38,206
lumaxile,Victory,2020-08-27,23,7,2,8,7.5,181
lumaxile,Victory,2020-08-27,19,11,1,0,11.0,120
lumaxile,Victory,2020-08-27,34,19,3,5,8.0,197
lumaxile,Victory,2020-08-27,46,18,7,10,4.0,235
lumaxile,Victory,2020-08-27,33,19,3,8,9.0,181
lumaxile,Defeat,2020-08-10,29,6,1,3,9.0,182
lumaxile,Victory,2020-08-10,26,23,2,10,16.5,148
lumaxile,Defeat,2020-08-10,40,13,2,9,11.0,248
lumaxile,Victory,2020-08-10,32,20,2,6,13.0,189
lumaxile,Defeat,2020-07-21,27,4,8,3,0.88,115
lumaxile,Defeat,2020-07-21,38,6,7,10,2.29,189
lumaxile,Victory,2020-07-10,35,4,10,8,1.2,216
lumaxile,Victory,2020-07-10,25,6,6,10,2.67,154
lumaxile,Defeat,2020-07-08,37,5,9,3,0.89,287
lumaxile,Defeat,2020-07-04,31,15,5,5,4.0,165
lumaxile,Defeat,2020-07-03,16,4,4,3,1.75,85
lumaxile,Defeat,2020-07-03,27,5,10,2,0.7,151
lumaxile,Defeat,2020-06-30,21,1,5,1,0.4,143
lumaxile,Victory,2020-06-30,26,14,3,4,6.0,201
lumaxile,Defeat,2020-06-30,24,3,4,1,1.0,163
lumaxile,Victory,2020-06-26,28,17,6,1,3.0,184
lumaxile,Victory,2020-06-26,29,9,5,11,4.0,184
lumaxile,Victory,2020-06-25,24,12,1,7,19.0,153
lumaxile,Victory,2020-06-25,38,18,6,14,5.33,228
lumaxile,Defeat,2020-06-25,29,6,12,4,0.83,108
lumaxile,Victory,2020-06-14,30,10,5,9,3.8,171
lumaxile,Defeat,2020-06-14,34,5,8,6,1.38,165
lumaxile,Victory,2020-06-14,31,7,6,7,2.33,189
lumaxile,Victory,2020-06-13,46,15,6,10,4.17,266
lumaxile,Victory,2020-06-09,32,4,3,5,3.0,233
lumaxile,Defeat,2020-06-09,30,8,4,4,3.0,198
lumaxile,Defeat,2020-06-08,23,0,7,0,0.0,143
lumaxile,Victory,2020-06-08,23,10,4,8,4.5,142
lumaxile,Defeat,2020-06-08,26,2,3,2,1.33,174
lumaxile,Victory,2020-06-08,28,11,5,11,4.4,165
lumaxile,Defeat,2020-06-02,29,9,5,5,2.8,163
lumaxile,Defeat,2020-05-31,25,2,5,5,1.4,200
lumaxile,Victory,2020-05-30,29,4,6,6,1.67,170
lumaxile,Victory,2020-05-30,36,8,4,12,5.0,278
lumaxile,Defeat,2020-05-27,40,5,10,11,1.6,153
