Summoner Name,W/L,Date,Duration,K,D,A,KDA,CS
lumaxile,Victory,2daysago,29min,15,2,11,13.0,200CS
lumaxile,Defeat,2daysago,28min,4,8,3,0.88,157CS
lumaxile,Victory,2daysago,22min,5,3,12,5.67,136CS
lumaxile,Defeat,3daysago,29min,6,4,5,2.75,199CS
lumaxile,Defeat,3daysago,20min,4,6,2,1.0,89CS
lumaxile,Defeat,23daysago,35min,13,8,10,2.88,215CS
lumaxile,Defeat,27daysago,28min,1,5,1,0.4,191CS
lumaxile,Defeat,27daysago,25min,4,6,3,1.17,150CS
lumaxile,Victory,27daysago,28min,3,7,15,2.57,20CS
lumaxile,Defeat,28daysago,25min,2,6,1,0.5,188CS
lumaxile,Defeat,28daysago,21min,9,3,3,4.0,134CS
lumaxile,Victory,29daysago,17min,3,0,1,4.0,148CS
lumaxile,Defeat,29daysago,28min,14,5,8,4.4,163CS
lumaxile,Victory,29daysago,16min,7,1,0,7.0,122CS
lumaxile,Defeat,29daysago,42min,7,6,9,2.67,247CS
lumaxile,Defeat,30daysago,31min,7,4,4,2.75,183CS
lumaxile,Defeat,30daysago,40min,9,7,13,3.14,212CS
lumaxile,Defeat,34daysago,40min,7,7,10,2.43,242CS
lumaxile,Defeat,34daysago,28min,11,6,4,2.5,190CS
lumaxile,Victory,35daysago,28min,5,3,11,5.33,195CS
lumaxile,Defeat,35daysago,34min,0,5,2,0.4,198CS
lumaxile,Victory,36daysago,31min,16,3,12,9.33,186CS
lumaxile,Victory,36daysago,28min,14,4,5,4.75,159CS
lumaxile,Victory,40daysago,24min,11,0,3,14.0,190CS
lumaxile,Victory,40daysago,30min,8,5,14,4.4,151CS
lumaxile,Victory,40daysago,44min,15,8,17,4.0,255CS
lumaxile,Defeat,41daysago,21min,4,4,1,1.25,104CS
lumaxile,Victory,43daysago,31min,10,5,7,3.4,158CS
lumaxile,Defeat,48daysago,34min,8,8,9,2.12,231CS
lumaxile,Defeat,48daysago,24min,3,9,1,0.44,106CS
lumaxile,Defeat,50daysago,28min,6,6,6,2.0,183CS
lumaxile,Victory,50daysago,20min,15,4,2,4.25,135CS
lumaxile,Victory,50daysago,40min,23,7,10,4.71,197CS
lumaxile,Defeat,52daysago,24min,1,7,2,0.43,137CS
lumaxile,Victory,52daysago,24min,12,5,10,4.4,111CS
lumaxile,Victory,52daysago,28min,10,2,5,7.5,192CS
lumaxile,Victory,52daysago,21min,4,2,7,5.5,126CS
lumaxile,Victory,55daysago,27min,9,3,4,4.33,187CS
lumaxile,Victory,55daysago,23min,2,4,9,2.75,14CS
lumaxile,Defeat,55daysago,20min,1,5,0,0.2,102CS
lumaxile,Victory,56daysago,20min,5,1,7,12.0,140CS
lumaxile,Victory,57daysago,15min,1,0,0,1.0,98CS
lumaxile,Victory,59daysago,29min,6,4,8,3.5,220CS
lumaxile,Defeat,59daysago,27min,7,7,4,1.57,220CS
lumaxile,Victory,59daysago,29min,11,4,7,4.5,178CS
lumaxile,Victory,68daysago,24min,9,4,1,2.5,139CS
lumaxile,Defeat,69daysago,34min,10,6,5,2.5,199CS
lumaxile,Defeat,69daysago,27min,6,5,6,2.4,155CS
lumaxile,Victory,71daysago,21min,10,2,3,6.5,146CS
lumaxile,Defeat,71daysago,36min,6,8,12,2.25,53CS
lumaxile,Defeat,76daysago,34min,18,4,5,5.75,178CS
lumaxile,Victory,76daysago,23min,12,5,8,4.0,142CS
lumaxile,Victory,76daysago,35min,12,7,13,3.57,225CS
lumaxile,Victory,76daysago,20min,13,2,5,9.0,137CS
lumaxile,Victory,76daysago,28min,14,5,7,4.2,172CS
lumaxile,Defeat,76daysago,28min,10,5,4,2.8,176CS
lumaxile,Defeat,77daysago,31min,11,9,6,1.89,143CS
lumaxile,Victory,77daysago,16min,6,1,1,7.0,114CS
lumaxile,Victory,78daysago,17min,4,0,2,6.0,124CS
lumaxile,Victory,78daysago,35min,11,6,10,3.5,220CS
lumaxile,Victory,78daysago,29min,9,1,2,11.0,194CS
lumaxile,Victory,92daysago,21min,14,2,5,9.5,146CS
lumaxile,Victory,96daysago,22min,12,0,3,15.0,149CS
lumaxile,Victory,98daysago,36min,7,4,10,4.25,236CS
lumaxile,Defeat,99daysago,26min,3,3,3,2.0,208CS
lumaxile,Defeat,99daysago,25min,10,2,5,7.5,141CS
lumaxile,Defeat,99daysago,33min,12,6,3,2.5,202CS
lumaxile,Victory,100daysago,32min,18,3,8,8.67,197CS
lumaxile,Defeat,100daysago,26min,6,3,1,2.33,156CS
lumaxile,Victory,111daysago,27min,4,0,7,11.0,186CS
lumaxile,Defeat,111daysago,34min,12,5,7,3.8,206CS
lumaxile,Defeat,111daysago,25min,1,7,4,0.71,162CS
lumaxile,Victory,111daysago,19min,8,1,5,13.0,102CS
lumaxile,Defeat,112daysago,16min,1,4,0,0.25,74CS
lumaxile,Victory,112daysago,18min,4,4,2,1.5,130CS
lumaxile,Victory,113daysago,30min,14,2,6,10.0,175CS
lumaxile,Victory,113daysago,31min,8,6,10,3.0,169CS
lumaxile,Defeat,113daysago,30min,2,7,5,1.0,190CS
