Summoner Name,Rank,W/L,Date,Duration (min),K,D,A,KDA,CS
maxxamX,Silver I,Defeat,2020-02-21,30,7,3,5,4.0,133
maxxamX,Silver I,Victory,2020-02-18,26,7,1,7,14.0,174
maxxamX,Silver I,Victory,2020-02-18,35,4,7,8,1.71,175
maxxamX,Silver I,Defeat,2020-02-17,29,6,7,4,1.43,159
maxxamX,Silver I,Victory,2020-02-17,20,8,1,3,11.0,121
maxxamX,Silver I,Defeat,2020-02-15,45,7,11,9,1.45,165
maxxamX,Silver I,Victory,2020-02-15,39,8,6,8,2.67,249
maxxamX,Silver I,Defeat,2020-02-15,33,10,12,5,1.25,216
maxxamX,Silver I,Defeat,2020-02-15,21,2,3,2,1.33,146
maxxamX,Silver I,Victory,2020-02-15,35,8,4,11,4.75,164
maxxamX,Silver I,Defeat,2020-02-15,30,3,10,8,1.1,174
maxxamX,Silver I,Victory,2020-02-15,22,3,2,12,7.5,139
maxxamX,Silver I,Victory,2020-02-14,19,4,4,4,2.0,118
maxxamX,Silver I,Victory,2020-02-13,33,5,7,14,2.71,183
maxxamX,Silver I,Victory,2020-02-13,21,3,2,2,2.5,127
maxxamX,Silver I,Defeat,2020-02-13,21,1,5,0,0.2,80
maxxamX,Silver I,Victory,2020-02-13,39,10,6,14,4.0,181
maxxamX,Silver I,Defeat,2020-02-13,37,13,11,11,2.18,147
maxxamX,Silver I,Defeat,2020-02-13,35,5,8,9,1.75,158
maxxamX,Silver I,Victory,2020-02-12,38,10,5,10,4.0,199
maxxamX,Silver I,Defeat,2020-02-12,21,1,6,3,0.67,106
maxxamX,Silver I,Victory,2020-02-11,23,6,2,8,7.0,135
maxxamX,Silver I,Victory,2020-02-11,23,10,3,4,4.67,136
maxxamX,Silver I,Victory,2020-02-11,40,9,4,14,5.75,206
maxxamX,Silver I,Defeat,2020-02-11,26,2,4,6,2.0,188
maxxamX,Silver I,Defeat,2020-02-11,23,2,4,5,1.75,151
maxxamX,Silver I,Defeat,2020-02-11,36,4,8,10,1.75,152
maxxamX,Silver I,Victory,2020-02-11,23,2,2,8,5.0,145
maxxamX,Silver I,Defeat,2020-02-11,36,12,11,19,2.82,158
maxxamX,Silver I,Defeat,2020-02-11,33,2,7,7,1.29,192
maxxamX,Silver I,Victory,2020-02-11,23,5,3,4,3.0,113
maxxamX,Silver I,Defeat,2020-02-10,36,6,10,15,2.1,167
maxxamX,Silver I,Victory,2020-02-10,30,8,6,10,3.0,139
maxxamX,Silver I,Victory,2020-02-08,22,5,3,16,7.0,102
maxxamX,Silver I,Victory,2020-02-08,22,5,2,9,7.0,166
maxxamX,Silver I,Victory,2020-02-08,24,4,3,18,7.33,110
maxxamX,Silver I,Victory,2020-02-07,54,7,7,20,3.86,54
maxxamX,Silver I,Defeat,2020-02-07,31,4,8,10,1.75,125
maxxamX,Silver I,Victory,2020-02-06,36,4,3,12,5.33,196
maxxamX,Silver I,Defeat,2020-02-06,28,1,6,5,1.0,144
maxxamX,Silver I,Victory,2020-02-06,27,2,5,9,2.2,16
maxxamX,Silver I,Defeat,2020-02-06,30,8,5,6,2.8,168
maxxamX,Silver I,Defeat,2020-02-06,33,6,8,18,3.0,151
maxxamX,Silver I,Victory,2020-02-06,25,8,1,11,19.0,141
maxxamX,Silver I,Victory,2020-02-06,31,15,4,20,8.75,163
maxxamX,Silver I,Defeat,2020-02-04,40,22,3,6,9.33,281
maxxamX,Silver I,Defeat,2020-02-04,24,12,5,0,2.4,109
maxxamX,Silver I,Victory,2020-02-04,30,7,3,8,5.0,164
maxxamX,Silver I,Victory,2020-02-04,23,4,1,2,6.0,122
maxxamX,Silver I,Defeat,2020-02-03,21,2,8,0,0.25,133
maxxamX,Silver I,Defeat,2020-02-03,16,3,5,1,0.8,55
maxxamX,Silver I,Defeat,2020-02-03,42,5,8,16,2.62,199
maxxamX,Silver I,Defeat,2020-02-03,19,0,5,1,0.2,91
maxxamX,Silver I,Victory,2020-02-03,27,9,5,10,3.8,143
maxxamX,Silver I,Defeat,2020-02-03,23,4,8,1,0.62,119
maxxamX,Silver I,Victory,2020-02-02,38,13,6,13,4.33,203
maxxamX,Silver I,Victory,2020-02-02,46,16,8,13,3.62,215
maxxamX,Silver I,Victory,2020-02-02,15,3,0,4,7.0,84
maxxamX,Silver I,Defeat,2020-02-02,31,2,8,9,1.38,144
maxxamX,Silver I,Victory,2020-02-02,28,6,6,12,3.0,164
