Summoner Name,Rank,W/L,Date,Duration (min),K,D,A,KDA,CS
ninna,Gold I,Victory,2020-11-17,39,6,7,21,3.86,69
ninna,Gold I,Defeat,2020-11-17,45,1,13,12,1.0,52
ninna,Gold I,Victory,2020-11-12,41,3,8,4,0.88,216
ninna,Gold I,Victory,2020-11-12,27,4,4,6,2.5,3
ninna,Gold I,Victory,2020-11-12,20,2,2,4,3.0,102
ninna,Gold I,Defeat,2020-11-10,26,0,2,6,3.0,8
ninna,Gold I,Defeat,2020-11-10,38,5,7,12,2.43,246
ninna,Gold I,Defeat,2020-11-10,30,6,3,0,2.0,143
ninna,Gold I,Defeat,2020-11-10,35,5,4,7,3.0,162
ninna,Gold I,Defeat,2020-11-10,37,1,8,3,0.5,201
ninna,Gold I,Defeat,2020-11-10,32,4,3,15,6.33,53
ninna,Gold I,Victory,2020-11-10,34,7,6,10,2.83,196
ninna,Gold I,Victory,2020-11-09,26,2,5,9,2.2,15
ninna,Gold I,Victory,2020-11-09,36,2,6,12,2.33,153
ninna,Gold I,Defeat,2020-11-09,18,1,2,2,1.5,92
ninna,Gold I,Victory,2020-11-09,29,2,2,7,4.5,126
ninna,Gold I,Victory,2020-11-09,34,6,3,11,5.67,208
ninna,Gold I,Defeat,2020-11-09,50,2,13,11,1.0,48
ninna,Gold I,Defeat,2020-11-08,35,1,11,8,0.82,39
ninna,Gold I,Defeat,2020-11-08,26,1,5,2,0.6,8
ninna,Gold I,Defeat,2020-11-07,23,4,4,1,1.25,120
ninna,Gold I,Defeat,2020-11-07,31,8,4,8,4.0,266
ninna,Gold I,Defeat,2020-11-07,31,10,6,9,3.17,251
ninna,Gold I,Victory,2020-11-07,20,4,3,3,2.33,150
ninna,Gold I,Victory,2020-11-07,31,9,4,11,5.0,206
ninna,Gold I,Victory,2020-11-07,36,6,6,10,2.67,286
ninna,Gold I,Defeat,2020-11-06,25,1,6,0,0.17,165
ninna,Gold I,Defeat,2020-11-06,33,9,4,2,2.75,239
ninna,Gold I,Defeat,2020-11-06,20,1,3,1,0.67,128
ninna,Gold I,Victory,2020-11-06,33,1,4,8,2.25,227
ninna,Gold I,Victory,2020-11-06,20,7,1,8,15.0,162
ninna,Gold I,Victory,2020-11-06,34,8,5,12,4.0,248
ninna,Gold I,Victory,2020-11-06,25,25,2,5,15.0,212
ninna,Gold I,Victory,2020-11-05,38,11,10,6,1.7,277
ninna,Gold I,Defeat,2020-11-05,26,2,6,0,0.33,197
ninna,Gold I,Defeat,2020-11-04,25,2,5,13,3.0,9
ninna,Gold I,Victory,2020-11-04,24,0,3,14,4.67,8
