Summoner Name,Rank,W/L,Date,Duration (min),K,D,A,KDA,CS
perlanegra40,Bronze I,Defeat,2020-11-06,25,2,11,3,0.45,89
perlanegra40,Bronze I,Victory,2020-11-06,29,3,5,7,2.0,71
perlanegra40,Bronze I,Victory,2020-09-15,39,1,11,18,1.73,52
perlanegra40,Bronze I,Victory,2020-09-15,39,5,9,15,2.22,128
perlanegra40,Bronze I,Defeat,2020-09-02,15,0,6,0,0.0,55
perlanegra40,Bronze I,Victory,2020-07-31,21,0,6,5,0.83,59
perlanegra40,Bronze I,Defeat,2020-07-27,35,7,11,14,1.91,182
perlanegra40,Bronze I,Victory,2020-07-27,21,0,4,2,0.5,65
perlanegra40,Bronze I,Defeat,2020-07-27,25,2,12,4,0.5,29
perlanegra40,Bronze I,Defeat,2020-07-27,20,0,0,0,0.0,11
perlanegra40,Bronze I,Defeat,2020-06-20,38,0,13,6,0.46,33
perlanegra40,Bronze I,Defeat,2020-06-20,25,0,6,1,0.17,23
perlanegra40,Bronze I,Defeat,2020-06-20,27,2,12,2,0.33,62
