Summoner Name,Rank,W/L,Date,Duration (min),K,D,A,KDA,CS
rodrigo 5793,Silver I,Defeat,2020-03-21,39,6,5,8,2.8,199
rodrigo 5793,Silver I,Defeat,2020-03-21,33,4,10,5,0.9,149
rodrigo 5793,Silver I,Defeat,2020-03-18,33,4,8,6,1.25,137
rodrigo 5793,Silver I,Victory,2020-03-18,39,12,4,9,5.25,215
rodrigo 5793,Silver I,Defeat,2020-03-18,39,1,7,5,0.86,201
rodrigo 5793,Silver I,Victory,2020-03-18,34,7,4,11,4.5,161
rodrigo 5793,Silver I,Victory,2020-03-18,26,6,4,7,3.25,94
rodrigo 5793,Silver I,Victory,2020-03-17,34,4,6,8,2.0,146
rodrigo 5793,Silver I,Defeat,2020-03-17,29,4,2,5,4.5,107
rodrigo 5793,Silver I,Victory,2020-03-17,33,3,5,14,3.4,19
rodrigo 5793,Silver I,Victory,2020-03-17,21,6,0,0,6.0,122
rodrigo 5793,Silver I,Defeat,2020-03-17,32,4,5,6,2.0,159
rodrigo 5793,Silver I,Defeat,2020-03-07,28,3,5,1,0.8,123
rodrigo 5793,Silver I,Victory,2020-03-07,30,1,5,18,3.8,134
rodrigo 5793,Silver I,Victory,2020-03-06,41,8,8,8,2.0,264
rodrigo 5793,Silver I,Defeat,2020-03-06,36,10,8,15,3.12,139
rodrigo 5793,Silver I,Victory,2020-03-06,20,3,2,8,5.5,120
rodrigo 5793,Silver I,Victory,2020-02-29,28,2,7,6,1.14,156
rodrigo 5793,Silver I,Victory,2020-02-29,34,18,5,8,5.2,151
rodrigo 5793,Silver I,Victory,2020-02-28,30,5,3,5,3.33,121
rodrigo 5793,Silver I,Defeat,2020-02-28,33,13,3,2,5.0,200
rodrigo 5793,Silver I,Defeat,2020-02-27,27,1,2,5,3.0,70
rodrigo 5793,Silver I,Defeat,2020-02-27,33,4,5,3,1.4,163
rodrigo 5793,Silver I,Victory,2020-02-27,45,17,4,10,6.75,231
rodrigo 5793,Silver I,Victory,2020-02-27,39,5,4,7,3.0,225
rodrigo 5793,Silver I,Defeat,2020-02-27,35,1,6,4,0.83,135
rodrigo 5793,Silver I,Victory,2020-02-27,21,4,2,5,4.5,109
rodrigo 5793,Silver I,Defeat,2020-02-25,34,13,11,4,1.55,147
rodrigo 5793,Silver I,Victory,2020-02-25,23,5,2,6,5.5,128
rodrigo 5793,Silver I,Defeat,2020-02-24,17,0,1,0,0.0,16
rodrigo 5793,Silver I,Defeat,2020-02-24,34,6,9,12,2.0,165
rodrigo 5793,Silver I,Victory,2020-02-24,28,4,4,5,2.25,86
rodrigo 5793,Silver I,Victory,2020-02-24,36,17,5,14,6.2,162
rodrigo 5793,Silver I,Victory,2020-02-24,32,16,4,5,5.25,208
rodrigo 5793,Silver I,Defeat,2020-02-24,35,1,10,2,0.3,189
rodrigo 5793,Silver I,Defeat,2020-02-24,31,3,10,7,1.0,217
rodrigo 5793,Silver I,Victory,2020-02-23,31,13,3,9,7.33,135
rodrigo 5793,Silver I,Defeat,2020-02-23,30,1,8,10,1.38,29
rodrigo 5793,Silver I,Defeat,2020-02-22,30,5,9,12,1.89,35
rodrigo 5793,Silver I,Defeat,2020-02-22,34,6,10,12,1.8,115
rodrigo 5793,Silver I,Victory,2020-02-22,29,2,3,10,4.0,37
rodrigo 5793,Silver I,Defeat,2020-02-20,39,5,8,10,1.88,144
rodrigo 5793,Silver I,Victory,2020-02-20,31,6,2,8,7.0,51
rodrigo 5793,Silver I,Victory,2020-02-20,27,7,4,13,5.0,120
rodrigo 5793,Silver I,Defeat,2020-02-20,37,8,5,4,2.4,183
rodrigo 5793,Silver I,Victory,2020-02-20,20,3,1,11,14.0,25
rodrigo 5793,Silver I,Defeat,2020-02-17,29,4,10,8,1.2,111
rodrigo 5793,Silver I,Defeat,2020-02-17,27,0,5,8,1.6,34
rodrigo 5793,Silver I,Victory,2020-02-17,44,3,10,29,3.2,47
rodrigo 5793,Silver I,Victory,2020-02-17,31,13,3,7,6.67,175
rodrigo 5793,Silver I,Defeat,2020-02-17,25,0,7,2,0.29,109
rodrigo 5793,Silver I,Victory,2020-02-17,34,5,4,21,6.5,31
rodrigo 5793,Silver I,Victory,2020-02-15,35,1,7,9,1.43,182
rodrigo 5793,Silver I,Victory,2020-02-15,23,4,3,10,4.67,91
rodrigo 5793,Silver I,Defeat,2020-02-14,32,4,7,4,1.14,117
rodrigo 5793,Silver I,Victory,2020-02-14,31,8,3,10,6.0,174
rodrigo 5793,Silver I,Defeat,2020-02-14,32,5,5,11,3.2,47
rodrigo 5793,Silver I,Victory,2020-02-12,32,3,2,5,4.0,160
rodrigo 5793,Silver I,Defeat,2020-02-12,31,7,10,4,1.1,142
rodrigo 5793,Silver I,Defeat,2020-02-12,32,5,6,9,2.33,135
rodrigo 5793,Silver I,Victory,2020-02-12,34,9,5,17,5.2,41
