Summoner Name,Rank,W/L,Date,Duration (min),K,D,A,KDA,CS
roflcow6,Diamond I,Defeat,2020-11-12,24,3,8,2,0.62,121
roflcow6,Diamond I,Defeat,2020-10-23,15,1,2,0,0.5,46
roflcow6,Diamond I,Defeat,2020-09-25,22,4,4,1,1.25,139
roflcow6,Diamond I,Victory,2020-09-25,24,7,2,8,7.5,143
roflcow6,Diamond I,Defeat,2020-09-12,24,9,3,4,4.33,158
roflcow6,Diamond I,Defeat,2020-09-11,31,2,8,7,1.12,192
roflcow6,Diamond I,Victory,2020-09-10,35,11,5,17,5.6,234
roflcow6,Diamond I,Victory,2020-09-10,21,9,6,4,2.17,96
roflcow6,Diamond I,Victory,2020-09-05,32,15,7,16,4.43,158
roflcow6,Diamond I,Victory,2020-08-28,20,6,5,4,2.0,128
roflcow6,Diamond I,Victory,2020-08-28,25,7,3,7,4.67,159
roflcow6,Diamond I,Victory,2020-08-27,17,6,2,6,6.0,120
roflcow6,Diamond I,Defeat,2020-08-27,33,5,5,8,2.6,209
roflcow6,Diamond I,Victory,2020-08-27,16,4,1,1,5.0,106
roflcow6,Diamond I,Victory,2020-08-27,24,7,0,4,11.0,161
roflcow6,Diamond I,Defeat,2020-08-26,17,7,4,0,1.75,91
roflcow6,Diamond I,Victory,2020-08-26,19,5,1,6,11.0,121
roflcow6,Diamond I,Victory,2020-08-26,22,12,2,5,8.5,152
roflcow6,Diamond I,Victory,2020-08-25,37,15,6,13,4.67,220
roflcow6,Diamond I,Defeat,2020-08-25,30,2,8,4,0.75,129
roflcow6,Diamond I,Defeat,2020-08-23,25,2,4,3,1.25,156
roflcow6,Diamond I,Victory,2020-08-23,41,15,6,10,4.17,279
roflcow6,Diamond I,Victory,2020-08-23,33,11,4,9,5.0,208
roflcow6,Diamond I,Victory,2020-08-23,28,6,6,6,2.0,175
roflcow6,Diamond I,Victory,2020-08-23,30,16,7,3,2.71,196
roflcow6,Diamond I,Victory,2020-08-23,35,14,7,13,3.86,193
roflcow6,Diamond I,Defeat,2020-08-22,23,9,6,1,1.67,123
roflcow6,Diamond I,Victory,2020-08-21,26,5,5,5,2.0,181
roflcow6,Diamond I,Victory,2020-08-21,27,12,6,11,3.83,134
roflcow6,Diamond I,Victory,2020-08-21,27,8,5,8,3.2,171
roflcow6,Diamond I,Victory,2020-08-20,29,3,7,4,1.0,206
roflcow6,Diamond I,Defeat,2020-08-18,41,15,5,2,3.4,300
roflcow6,Diamond I,Victory,2020-08-12,29,14,5,13,5.4,166
roflcow6,Diamond I,Defeat,2020-08-11,35,7,6,6,2.17,219
roflcow6,Diamond I,Defeat,2020-08-11,30,8,9,11,2.11,194
roflcow6,Diamond I,Victory,2020-08-11,37,3,4,8,2.75,361
roflcow6,Diamond I,Defeat,2020-08-07,26,6,3,2,2.67,132
roflcow6,Diamond I,Victory,2020-08-07,26,10,4,10,5.0,201
roflcow6,Diamond I,Defeat,2020-08-06,35,12,10,3,1.5,164
roflcow6,Diamond I,Victory,2020-08-06,33,18,5,6,4.8,181
roflcow6,Diamond I,Defeat,2020-08-03,37,11,9,13,2.67,167
roflcow6,Diamond I,Defeat,2020-07-29,27,0,9,6,0.67,145
roflcow6,Diamond I,Victory,2020-07-29,20,5,3,1,2.0,130
roflcow6,Diamond I,Defeat,2020-07-19,29,4,1,4,8.0,116
roflcow6,Diamond I,Victory,2020-07-19,21,8,0,5,13.0,152
roflcow6,Diamond I,Victory,2020-07-19,32,5,7,7,1.71,196
roflcow6,Diamond I,Defeat,2020-07-19,18,0,3,3,1.0,88
roflcow6,Diamond I,Victory,2020-07-17,27,6,6,6,2.0,145
roflcow6,Diamond I,Defeat,2020-07-04,20,1,4,1,0.5,128
roflcow6,Diamond I,Defeat,2020-07-04,27,12,8,5,2.12,132
roflcow6,Diamond I,Defeat,2020-06-30,20,3,3,5,2.67,119
roflcow6,Diamond I,Defeat,2020-06-27,23,9,5,3,2.4,134
roflcow6,Diamond I,Defeat,2020-06-06,33,14,11,5,1.73,168
roflcow6,Diamond I,Defeat,2020-05-12,31,6,7,14,2.86,182
roflcow6,Diamond I,Defeat,2020-05-05,23,4,7,3,1.0,138
roflcow6,Diamond I,Defeat,2020-05-05,33,3,9,5,0.89,235
roflcow6,Diamond I,Defeat,2020-05-03,35,14,4,10,6.0,208
roflcow6,Diamond I,Defeat,2020-05-03,24,7,3,0,2.33,172
roflcow6,Diamond I,Defeat,2020-04-30,22,7,7,5,1.71,132
roflcow6,Diamond I,Defeat,2020-04-30,28,3,5,6,1.8,155
roflcow6,Diamond I,Victory,2020-04-30,25,6,4,9,3.75,134
roflcow6,Diamond I,Victory,2020-04-30,23,6,3,8,4.67,155
roflcow6,Diamond I,Defeat,2020-04-27,29,6,8,5,1.38,164
roflcow6,Diamond I,Defeat,2020-04-26,23,1,3,1,0.67,93
roflcow6,Diamond I,Defeat,2020-04-26,27,9,2,4,6.5,106
roflcow6,Diamond I,Victory,2020-04-26,28,10,6,9,3.17,190
roflcow6,Diamond I,Victory,2020-04-26,27,4,5,7,2.2,155
roflcow6,Diamond I,Victory,2020-04-26,32,21,5,10,6.2,210
roflcow6,Diamond I,Defeat,2020-04-23,25,5,7,6,1.57,150
roflcow6,Diamond I,Victory,2020-04-23,29,12,2,11,11.5,148
roflcow6,Diamond I,Victory,2020-04-23,28,13,4,9,5.5,161
roflcow6,Diamond I,Victory,2020-04-23,22,8,3,10,6.0,171
roflcow6,Diamond I,Defeat,2020-04-20,27,5,6,3,1.33,159
roflcow6,Diamond I,Defeat,2020-04-20,32,4,4,7,2.75,202
roflcow6,Diamond I,Defeat,2020-04-18,30,7,6,10,2.83,147
roflcow6,Diamond I,Defeat,2020-04-18,24,2,4,1,0.75,136
roflcow6,Diamond I,Defeat,2020-04-17,40,9,5,5,2.8,254
roflcow6,Diamond I,Victory,2020-04-17,30,10,5,11,4.2,181
roflcow6,Diamond I,Defeat,2020-04-17,29,4,9,14,2.0,113
roflcow6,Diamond I,Victory,2020-04-17,28,11,2,5,8.0,166
roflcow6,Diamond I,Victory,2020-04-17,19,9,0,1,10.0,112
roflcow6,Diamond I,Defeat,2020-04-17,26,3,7,3,0.86,150
roflcow6,Diamond I,Defeat,2020-04-17,21,7,3,1,2.67,131
roflcow6,Diamond I,Victory,2020-04-16,29,8,5,6,2.8,135
roflcow6,Diamond I,Victory,2020-04-16,23,9,2,2,5.5,44
roflcow6,Diamond I,Victory,2020-04-16,23,4,2,3,3.5,142
