Summoner Name,Rank,W/L,Date,Duration (min),K,D,A,KDA,CS
samuelioo,Silver I,Defeat,2020-11-09,38,6,8,3,1.12,197
samuelioo,Silver I,Victory,2020-11-09,15,3,1,1,4.0,101
samuelioo,Silver I,Defeat,2020-11-09,22,2,11,1,0.27,69
samuelioo,Silver I,Defeat,2020-11-01,30,11,5,2,2.6,96
samuelioo,Silver I,Defeat,2020-11-01,26,4,6,2,1.0,128
samuelioo,Silver I,Defeat,2020-10-15,36,10,5,14,4.8,126
samuelioo,Silver I,Victory,2020-10-15,26,1,2,13,7.0,30
samuelioo,Silver I,Victory,2020-10-09,21,7,2,6,6.5,82
samuelioo,Silver I,Victory,2020-10-09,28,9,2,3,6.0,122
samuelioo,Silver I,Victory,2020-10-09,32,3,4,8,2.75,161
samuelioo,Silver I,Victory,2020-10-09,34,8,5,7,3.0,147
samuelioo,Silver I,Victory,2020-10-09,21,6,0,3,9.0,157
samuelioo,Silver I,Victory,2020-10-09,28,11,0,11,22.0,135
samuelioo,Silver I,Victory,2020-09-29,34,14,3,13,9.0,111
samuelioo,Silver I,Defeat,2020-09-28,32,4,10,8,1.2,107
samuelioo,Silver I,Victory,2020-09-25,24,3,2,8,5.5,93
samuelioo,Silver I,Defeat,2020-09-25,28,6,1,3,9.0,149
samuelioo,Silver I,Defeat,2020-09-17,39,12,11,8,1.82,169
samuelioo,Silver I,Defeat,2020-09-17,29,3,8,6,1.12,98
samuelioo,Silver I,Defeat,2020-09-17,29,1,5,8,1.8,28
samuelioo,Silver I,Defeat,2020-09-17,36,0,6,10,1.67,142
samuelioo,Silver I,Victory,2020-09-16,33,3,6,9,2.0,149
samuelioo,Silver I,Defeat,2020-09-16,31,0,9,10,1.11,33
samuelioo,Silver I,Victory,2020-09-13,25,5,3,4,3.0,75
samuelioo,Silver I,Defeat,2020-09-10,20,2,4,3,1.25,73
samuelioo,Silver I,Victory,2020-09-09,32,12,4,10,5.5,139
samuelioo,Silver I,Defeat,2020-09-09,44,6,5,11,3.4,151
samuelioo,Silver I,Victory,2020-09-09,38,11,2,10,10.5,160
samuelioo,Silver I,Defeat,2020-09-07,40,8,8,12,2.5,160
samuelioo,Silver I,Victory,2020-09-07,20,5,3,7,4.0,60
samuelioo,Silver I,Victory,2020-09-07,29,3,6,7,1.67,97
samuelioo,Silver I,Victory,2020-09-05,36,10,3,22,10.67,105
samuelioo,Silver I,Victory,2020-09-05,23,4,1,2,6.0,105
samuelioo,Silver I,Victory,2020-09-03,29,5,1,6,11.0,152
samuelioo,Silver I,Victory,2020-09-03,39,1,9,18,2.11,27
samuelioo,Silver I,Defeat,2020-09-02,30,4,8,3,0.88,160
samuelioo,Silver I,Victory,2020-09-02,32,2,7,23,3.57,25
