Summoner Name,W/L,Date,Duration (min),K,D,A,KDA,CS
skarskarSkarner,Victory,2020-11-16,25,9,4,11,5.0,38
skarskarSkarner,Defeat,2020-11-16,29,12,6,2,2.33,196
skarskarSkarner,Victory,2020-11-16,31,1,4,23,6.0,20
skarskarSkarner,Victory,2020-11-16,34,0,5,18,3.6,39
skarskarSkarner,Victory,2020-11-14,28,10,2,9,9.5,241
skarskarSkarner,Defeat,2020-11-14,20,8,4,0,2.0,146
skarskarSkarner,Victory,2020-11-14,21,3,2,5,4.0,179
skarskarSkarner,Victory,2020-11-13,21,4,3,6,3.33,76
skarskarSkarner,Victory,2020-11-13,21,7,0,3,10.0,179
skarskarSkarner,Defeat,2020-11-13,27,2,4,5,1.75,177
skarskarSkarner,Defeat,2020-11-13,29,15,4,8,5.75,182
skarskarSkarner,Defeat,2020-11-13,25,9,6,5,2.33,126
skarskarSkarner,Defeat,2020-11-13,36,19,5,10,5.8,254
skarskarSkarner,Defeat,2020-11-13,36,22,8,5,3.38,222
skarskarSkarner,Victory,2020-11-12,36,8,0,16,24.0,284
skarskarSkarner,Defeat,2020-11-11,24,12,6,5,2.83,166
skarskarSkarner,Defeat,2020-11-11,19,2,5,6,1.6,114
skarskarSkarner,Victory,2020-11-11,31,16,2,6,11.0,257
skarskarSkarner,Victory,2020-11-11,25,13,3,7,6.67,211
skarskarSkarner,Defeat,2020-11-11,27,2,9,9,1.22,173
skarskarSkarner,Victory,2020-11-11,15,3,0,0,3.0,151
skarskarSkarner,Defeat,2020-11-05,26,3,5,2,1.0,238
skarskarSkarner,Victory,2020-11-05,19,13,1,4,17.0,175
skarskarSkarner,Victory,2020-11-05,30,17,3,5,7.33,246
skarskarSkarner,Victory,2020-11-05,36,4,6,23,4.5,37
skarskarSkarner,Defeat,2020-11-05,26,5,7,10,2.14,140
skarskarSkarner,Victory,2020-11-05,39,9,6,5,2.33,294
skarskarSkarner,Defeat,2020-11-03,38,8,10,8,1.6,206
skarskarSkarner,Victory,2020-11-03,35,6,5,8,2.8,244
skarskarSkarner,Victory,2020-11-02,32,9,5,7,3.2,213
skarskarSkarner,Defeat,2020-11-02,28,11,8,4,1.88,221
skarskarSkarner,Victory,2020-11-02,15,3,0,2,5.0,103
skarskarSkarner,Victory,2020-11-01,29,11,4,10,5.25,223
skarskarSkarner,Victory,2020-10-31,32,13,2,6,9.5,347
skarskarSkarner,Defeat,2020-10-31,36,5,8,10,1.88,51
skarskarSkarner,Defeat,2020-10-31,27,1,10,7,0.8,28
skarskarSkarner,Victory,2020-10-31,23,9,2,2,5.5,172
skarskarSkarner,Defeat,2020-10-31,28,0,11,11,1.0,14
skarskarSkarner,Defeat,2020-10-31,21,7,2,0,3.5,193
skarskarSkarner,Defeat,2020-10-30,35,5,7,13,2.57,231
skarskarSkarner,Victory,2020-10-30,29,11,2,5,8.0,316
skarskarSkarner,Victory,2020-10-30,29,13,2,5,9.0,204
skarskarSkarner,Defeat,2020-10-30,27,2,7,5,1.0,235
skarskarSkarner,Victory,2020-10-30,33,7,8,12,2.38,200
skarskarSkarner,Victory,2020-10-30,21,7,0,6,13.0,188
skarskarSkarner,Victory,2020-10-30,27,4,8,6,1.25,226
skarskarSkarner,Victory,2020-10-29,22,2,3,18,6.67,26
skarskarSkarner,Victory,2020-10-29,25,10,6,10,3.33,141
skarskarSkarner,Defeat,2020-10-28,30,3,9,8,1.22,118
skarskarSkarner,Victory,2020-10-28,35,5,6,11,2.67,195
