Summoner Name,W/L,Date,Duration,K,D,A,KDA,CS
skarskarSkarner,Defeat,2daysago,28min,3,7,3,0.86,196CS
skarskarSkarner,Victory,2daysago,38min,5,10,19,2.4,168CS
skarskarSkarner,Victory,3daysago,20min,8,1,4,12.0,177CS
skarskarSkarner,Defeat,5daysago,21min,1,5,3,0.8,138CS
skarskarSkarner,Defeat,10daysago,29min,4,2,0,2.0,265CS
skarskarSkarner,Defeat,11daysago,30min,1,4,2,0.75,264CS
skarskarSkarner,Victory,12daysago,23min,5,2,9,7.0,127CS
skarskarSkarner,Defeat,12daysago,26min,2,4,10,3.0,129CS
skarskarSkarner,Defeat,12daysago,21min,4,5,9,2.6,3CS
skarskarSkarner,Defeat,12daysago,27min,1,6,2,0.5,134CS
skarskarSkarner,Victory,13daysago,28min,0,3,7,2.33,218CS
skarskarSkarner,Victory,13daysago,28min,3,4,9,3.0,146CS
skarskarSkarner,Victory,13daysago,37min,5,11,16,1.91,225CS
skarskarSkarner,Defeat,13daysago,25min,6,4,1,1.75,147CS
skarskarSkarner,Defeat,13daysago,30min,1,6,6,1.17,190CS
skarskarSkarner,Defeat,14daysago,27min,2,6,5,1.17,187CS
skarskarSkarner,Victory,15daysago,32min,4,2,3,3.5,305CS
skarskarSkarner,Victory,15daysago,24min,4,3,8,4.0,128CS
skarskarSkarner,Victory,15daysago,33min,10,4,14,6.0,220CS
skarskarSkarner,Defeat,16daysago,22min,3,5,4,1.4,148CS
skarskarSkarner,Victory,16daysago,25min,9,4,9,4.5,180CS
skarskarSkarner,Victory,16daysago,24min,5,4,5,2.5,148CS
skarskarSkarner,Defeat,16daysago,29min,4,8,10,1.75,185CS
skarskarSkarner,Victory,16daysago,28min,3,7,4,1.0,174CS
skarskarSkarner,Victory,16daysago,29min,4,7,6,1.43,196CS
skarskarSkarner,Victory,16daysago,23min,7,6,12,3.17,124CS
skarskarSkarner,Defeat,17daysago,24min,4,5,2,1.2,139CS
skarskarSkarner,Victory,17daysago,30min,3,3,11,4.67,196CS
skarskarSkarner,Victory,17daysago,35min,17,4,9,6.5,273CS
skarskarSkarner,Victory,17daysago,30min,7,4,6,3.25,203CS
skarskarSkarner,Victory,17daysago,30min,12,4,16,7.0,170CS
skarskarSkarner,Defeat,17daysago,25min,3,5,6,1.8,155CS
skarskarSkarner,Defeat,17daysago,19min,1,7,2,0.43,109CS
skarskarSkarner,Defeat,19daysago,25min,3,5,0,0.6,176CS
skarskarSkarner,Victory,19daysago,38min,9,4,14,5.75,215CS
skarskarSkarner,Victory,21daysago,24min,4,5,14,3.6,189CS
skarskarSkarner,Victory,22daysago,15min,3,2,4,3.5,93CS
skarskarSkarner,Victory,23daysago,35min,5,7,18,3.29,158CS
skarskarSkarner,Victory,24daysago,20min,1,1,7,8.0,153CS
skarskarSkarner,Victory,25daysago,38min,6,7,18,3.43,180CS
skarskarSkarner,Victory,26daysago,27min,4,6,9,2.17,159CS
skarskarSkarner,Victory,26daysago,32min,7,4,8,3.75,268CS
skarskarSkarner,Defeat,26daysago,33min,2,8,9,1.38,191CS
skarskarSkarner,Victory,26daysago,27min,5,6,4,1.5,147CS
skarskarSkarner,Defeat,26daysago,29min,7,5,7,2.8,177CS
skarskarSkarner,Victory,27daysago,30min,5,3,17,7.33,174CS
skarskarSkarner,Victory,27daysago,29min,2,4,6,2.0,224CS
skarskarSkarner,Victory,27daysago,33min,9,4,13,5.5,175CS
skarskarSkarner,Victory,27daysago,29min,1,5,10,2.2,164CS
skarskarSkarner,Defeat,27daysago,25min,1,5,5,1.2,34CS
skarskarSkarner,Victory,27daysago,23min,4,6,6,1.67,190CS
skarskarSkarner,Victory,28daysago,34min,1,6,25,4.33,22CS
skarskarSkarner,Defeat,28daysago,31min,5,7,8,1.86,158CS
skarskarSkarner,Defeat,28daysago,26min,4,4,5,2.25,138CS
skarskarSkarner,Defeat,28daysago,25min,2,2,1,1.5,172CS
skarskarSkarner,Defeat,29daysago,38min,8,5,7,3.0,187CS
skarskarSkarner,Victory,31daysago,26min,2,4,13,3.75,164CS
skarskarSkarner,Victory,33daysago,30min,0,10,19,1.9,6CS
skarskarSkarner,Victory,33daysago,27min,4,5,10,2.8,145CS
skarskarSkarner,Victory,33daysago,26min,0,7,18,2.57,14CS
skarskarSkarner,Defeat,35daysago,24min,0,6,3,0.5,126CS
skarskarSkarner,Victory,36daysago,31min,5,6,12,2.83,158CS
skarskarSkarner,Victory,38daysago,21min,3,2,6,4.5,152CS
skarskarSkarner,Victory,41daysago,26min,2,2,15,8.5,194CS
skarskarSkarner,Victory,43daysago,34min,4,6,13,2.83,199CS
skarskarSkarner,Victory,43daysago,31min,1,9,16,1.89,29CS
skarskarSkarner,Victory,43daysago,35min,1,9,19,2.22,186CS
skarskarSkarner,Victory,44daysago,31min,2,4,8,2.5,236CS
skarskarSkarner,Victory,47daysago,25min,3,3,8,3.67,164CS
skarskarSkarner,Defeat,47daysago,29min,1,8,3,0.5,157CS
skarskarSkarner,Defeat,47daysago,28min,5,11,10,1.36,160CS
skarskarSkarner,Defeat,47daysago,25min,5,5,0,1.0,167CS
skarskarSkarner,Victory,47daysago,37min,10,7,9,2.71,257CS
skarskarSkarner,Defeat,47daysago,23min,1,7,4,0.71,11CS
skarskarSkarner,Defeat,48daysago,31min,8,8,15,2.88,133CS
skarskarSkarner,Victory,48daysago,23min,5,1,9,14.0,131CS
skarskarSkarner,Victory,48daysago,30min,7,2,15,11.0,212CS
skarskarSkarner,Victory,49daysago,45min,10,10,17,2.7,197CS
skarskarSkarner,Victory,49daysago,28min,7,2,9,8.0,195CS
skarskarSkarner,Defeat,49daysago,22min,3,5,4,1.4,131CS
skarskarSkarner,Defeat,49daysago,17min,0,8,3,0.38,9CS
skarskarSkarner,Defeat,51daysago,38min,14,7,9,3.29,185CS
skarskarSkarner,Victory,51daysago,32min,5,7,13,2.57,214CS
skarskarSkarner,Victory,53daysago,25min,1,5,5,1.2,180CS
skarskarSkarner,Victory,53daysago,27min,6,5,5,2.2,163CS
skarskarSkarner,Victory,54daysago,34min,10,3,12,7.33,208CS
skarskarSkarner,Victory,54daysago,28min,6,6,8,2.33,163CS
skarskarSkarner,Victory,54daysago,22min,5,3,5,3.33,173CS
skarskarSkarner,Victory,55daysago,28min,2,4,7,2.25,197CS
skarskarSkarner,Victory,57daysago,28min,4,1,5,9.0,222CS
skarskarSkarner,Defeat,58daysago,24min,7,7,5,1.71,112CS
skarskarSkarner,Defeat,58daysago,33min,9,5,3,2.4,169CS
skarskarSkarner,Defeat,59daysago,25min,2,6,3,0.83,155CS
skarskarSkarner,Victory,59daysago,32min,0,6,27,4.5,15CS
skarskarSkarner,Defeat,59daysago,19min,2,5,5,1.4,107CS
skarskarSkarner,Victory,59daysago,30min,14,5,7,4.2,197CS
skarskarSkarner,Defeat,59daysago,29min,3,8,4,0.88,175CS
skarskarSkarner,Defeat,59daysago,34min,9,9,12,2.33,200CS
skarskarSkarner,Defeat,59daysago,13min,0,3,1,0.33,16CS
skarskarSkarner,Defeat,59daysago,30min,0,10,6,0.6,34CS
skarskarSkarner,Victory,59daysago,15min,1,1,3,4.0,120CS
skarskarSkarner,Defeat,63daysago,26min,1,5,15,3.2,40CS
