Summoner Name,W/L,Date,Duration (min),K,D,A,KDA,CS
sneik9210,Victory,2020-11-15,30,3,6,12,2.5,40
sneik9210,Defeat,2020-11-15,34,6,12,3,0.75,128
sneik9210,Defeat,2020-11-01,29,3,5,4,1.4,121
sneik9210,Defeat,2020-10-09,34,3,8,2,0.62,129
sneik9210,Victory,2020-10-09,25,6,5,13,3.8,107
sneik9210,Victory,2020-10-08,27,2,2,8,5.0,123
sneik9210,Defeat,2020-10-08,22,1,6,0,0.17,118
sneik9210,Defeat,2020-08-21,32,3,10,9,1.2,140
sneik9210,Defeat,2020-08-17,27,1,8,5,0.75,113
sneik9210,Victory,2020-08-10,25,4,1,4,8.0,170
sneik9210,Defeat,2020-07-25,41,2,10,12,1.4,209
sneik9210,Defeat,2020-07-25,31,6,5,1,1.4,202
sneik9210,Defeat,2020-07-25,50,4,12,8,1.0,364
sneik9210,Defeat,2020-07-16,28,6,10,7,1.3,92
sneik9210,Victory,2020-07-16,21,0,1,5,5.0,140
sneik9210,Defeat,2020-07-16,34,5,10,6,1.1,135
sneik9210,Victory,2020-07-16,40,7,5,13,4.0,187
sneik9210,Victory,2020-07-16,20,2,5,3,1.0,89
sneik9210,Victory,2020-07-16,40,0,9,6,0.67,191
sneik9210,Victory,2020-07-16,39,10,9,7,1.89,205
sneik9210,Defeat,2020-07-08,28,4,5,10,2.8,98
sneik9210,Defeat,2020-07-08,19,1,6,0,0.17,75
sneik9210,Defeat,2020-04-10,31,1,7,4,0.71,140
sneik9210,Defeat,2019-09-29,27,0,4,7,1.75,115
sneik9210,Defeat,2019-09-16,28,1,6,1,0.33,124
sneik9210,Defeat,2019-09-15,32,7,4,2,2.25,209
sneik9210,Defeat,2019-09-15,31,2,6,6,1.33,155
sneik9210,Defeat,2019-09-13,34,0,8,9,1.12,152
sneik9210,Defeat,2019-06-25,34,5,8,8,1.62,155
