Summoner Name,W/L,Date,Duration,K,D,A,KDA,CS
sneik9210,Defeat,9daysago,47min,6,14,15,1.5,202CS
sneik9210,Defeat,11daysago,18min,1,4,0,0.25,43CS
sneik9210,Victory,14daysago,29min,2,8,6,1.0,136CS
sneik9210,Defeat,14daysago,27min,0,5,1,0.2,110CS
sneik9210,Victory,14daysago,50min,21,10,7,2.8,307CS
sneik9210,Victory,14daysago,32min,1,4,11,3.0,100CS
sneik9210,Victory,14daysago,35min,10,6,5,2.5,189CS
sneik9210,Victory,14daysago,29min,3,6,1,0.67,107CS
sneik9210,Defeat,14daysago,21min,1,3,1,0.67,114CS
sneik9210,Victory,15daysago,21min,1,1,1,2.0,124CS
sneik9210,Defeat,15daysago,36min,2,9,0,0.22,128CS
sneik9210,Victory,15daysago,39min,7,8,1,1.0,212CS
sneik9210,Defeat,15daysago,23min,1,6,0,0.17,123CS
sneik9210,Victory,15daysago,34min,6,4,11,4.25,110CS
sneik9210,Victory,15daysago,40min,8,11,12,1.82,41CS
sneik9210,Victory,15daysago,24min,1,2,2,1.5,139CS
sneik9210,Defeat,15daysago,36min,3,7,7,1.43,136CS
sneik9210,Defeat,15daysago,27min,4,4,7,2.75,135CS
sneik9210,Victory,15daysago,38min,13,6,9,3.67,145CS
sneik9210,Defeat,15daysago,24min,3,7,0,0.43,111CS
sneik9210,Victory,16daysago,20min,1,0,2,3.0,114CS
sneik9210,Defeat,16daysago,40min,13,10,7,2.0,162CS
sneik9210,Victory,16daysago,32min,5,6,11,2.67,160CS
sneik9210,Defeat,16daysago,41min,5,7,3,1.14,185CS
sneik9210,Defeat,47daysago,30min,0,8,0,0.0,204CS
sneik9210,Victory,47daysago,46min,9,5,6,3.0,334CS
sneik9210,Defeat,47daysago,29min,6,7,5,1.57,118CS
sneik9210,Defeat,48daysago,35min,2,9,2,0.44,153CS
sneik9210,Defeat,98daysago,28min,2,9,5,0.78,93CS
sneik9210,Defeat,98daysago,34min,4,8,6,1.25,165CS
sneik9210,Victory,98daysago,25min,7,2,4,5.5,139CS
sneik9210,Victory,98daysago,37min,16,7,5,3.0,224CS
sneik9210,Victory,98daysago,33min,7,5,11,3.6,188CS
sneik9210,Defeat,98daysago,34min,10,8,2,1.5,198CS
sneik9210,Defeat,98daysago,26min,1,3,2,1.0,135CS
sneik9210,Victory,112daysago,33min,4,5,6,2.0,186CS
sneik9210,Defeat,117daysago,32min,8,5,1,1.8,187CS
sneik9210,Defeat,127daysago,28min,2,7,3,0.71,140CS
sneik9210,Defeat,127daysago,30min,1,5,10,2.2,91CS
sneik9210,Victory,127daysago,43min,5,7,10,2.14,156CS
sneik9210,Defeat,132daysago,25min,1,5,3,0.8,91CS
sneik9210,Victory,203daysago,49min,7,8,11,2.25,272CS
sneik9210,Defeat,221daysago,33min,3,3,3,2.0,192CS
sneik9210,Defeat,222daysago,17min,2,1,0,2.0,70CS
sneik9210,Defeat,223daysago,31min,5,8,13,2.25,138CS
sneik9210,Victory,223daysago,27min,3,4,8,2.75,109CS
sneik9210,Victory,223daysago,28min,6,5,10,3.2,143CS
sneik9210,Defeat,229daysago,36min,3,8,6,1.12,114CS
sneik9210,Victory,229daysago,37min,6,7,13,2.71,122CS
sneik9210,Defeat,232daysago,41min,2,2,3,2.5,227CS
sneik9210,Defeat,233daysago,32min,1,8,7,1.0,161CS
sneik9210,Defeat,233daysago,44min,10,8,8,2.25,173CS
sneik9210,Victory,233daysago,28min,9,3,7,5.33,158CS
sneik9210,Defeat,233daysago,29min,2,6,4,1.0,92CS
sneik9210,Defeat,233daysago,31min,4,4,5,2.25,82CS
sneik9210,Defeat,235daysago,30min,3,11,7,0.91,81CS
sneik9210,Defeat,235daysago,30min,1,6,4,0.83,138CS
sneik9210,Defeat,235daysago,26min,2,6,5,1.17,144CS
sneik9210,Victory,235daysago,44min,8,6,9,2.83,247CS
sneik9210,Defeat,235daysago,26min,0,7,2,0.29,43CS
sneik9210,Defeat,235daysago,23min,3,6,1,0.67,94CS
sneik9210,Victory,235daysago,27min,0,4,5,1.25,84CS
sneik9210,Victory,236daysago,40min,12,3,13,8.33,221CS
sneik9210,Defeat,236daysago,35min,5,9,6,1.22,163CS
sneik9210,Victory,236daysago,36min,0,4,10,2.5,102CS
sneik9210,Defeat,237daysago,32min,3,5,3,1.2,201CS
sneik9210,Victory,237daysago,44min,14,8,14,3.5,226CS
sneik9210,Defeat,237daysago,32min,1,8,1,0.25,113CS
sneik9210,Victory,238daysago,25min,6,5,7,2.6,92CS
sneik9210,Victory,238daysago,37min,10,12,6,1.33,107CS
sneik9210,Victory,238daysago,32min,7,8,7,1.75,109CS
sneik9210,Victory,238daysago,26min,9,4,9,4.5,113CS
sneik9210,Victory,238daysago,25min,2,2,4,3.0,151CS
sneik9210,Defeat,238daysago,30min,1,9,4,0.56,108CS
sneik9210,Victory,238daysago,40min,9,4,12,5.25,219CS
sneik9210,Victory,238daysago,37min,12,4,16,7.0,148CS
sneik9210,Defeat,239daysago,28min,2,4,2,1.0,106CS
sneik9210,Defeat,239daysago,45min,11,8,22,4.12,195CS
sneik9210,Victory,239daysago,26min,3,7,5,1.14,80CS
sneik9210,Victory,239daysago,40min,5,9,7,1.33,160CS
sneik9210,Victory,239daysago,38min,5,12,7,1.0,177CS
sneik9210,Defeat,240daysago,34min,0,3,0,0.0,43CS
sneik9210,Defeat,240daysago,39min,12,6,6,3.0,156CS
sneik9210,Defeat,241daysago,27min,4,4,4,2.0,116CS
sneik9210,Victory,241daysago,47min,28,6,6,5.67,204CS
sneik9210,Victory,242daysago,29min,12,6,11,3.83,147CS
sneik9210,Defeat,242daysago,59min,6,13,9,1.15,238CS
sneik9210,Victory,242daysago,45min,5,9,18,2.56,85CS
sneik9210,Victory,242daysago,30min,7,6,11,3.0,166CS
sneik9210,Defeat,243daysago,20min,0,5,4,0.8,66CS
sneik9210,Defeat,243daysago,24min,2,6,5,1.17,113CS
sneik9210,Victory,243daysago,25min,5,6,8,2.17,97CS
sneik9210,Defeat,243daysago,29min,4,8,2,0.75,125CS
sneik9210,Defeat,243daysago,40min,1,9,10,1.22,113CS
sneik9210,Defeat,244daysago,23min,1,3,2,1.0,128CS
sneik9210,Victory,244daysago,33min,6,1,7,13.0,139CS
sneik9210,Defeat,244daysago,32min,14,8,11,3.12,142CS
