Summoner Name,Rank,W/L,Date,Duration (min),K,D,A,KDA,CS
xEveuSx,Bronze I,Victory,2020-09-20,40,2,4,12,3.5,61
xEveuSx,Bronze I,Victory,2020-09-19,33,1,1,13,14.0,40
xEveuSx,Bronze I,Victory,2020-09-02,32,5,6,15,3.33,153
xEveuSx,Bronze I,Victory,2020-08-12,45,3,4,22,6.25,97
xEveuSx,Bronze I,Defeat,2020-08-12,35,4,8,18,2.75,37
xEveuSx,Bronze I,Defeat,2020-07-04,33,4,8,8,1.5,118
xEveuSx,Bronze I,Defeat,2020-07-04,46,3,12,21,2.0,36
xEveuSx,Bronze I,Defeat,2020-07-01,25,0,5,3,0.6,31
xEveuSx,Bronze I,Defeat,2020-07-01,34,3,8,2,0.62,34
xEveuSx,Bronze I,Defeat,2020-07-01,17,0,5,2,0.4,17
xEveuSx,Bronze I,Defeat,2020-06-19,19,2,7,3,0.71,24
xEveuSx,Bronze I,Victory,2020-06-12,38,3,8,15,2.25,30
xEveuSx,Bronze I,Defeat,2020-06-12,16,1,0,4,5.0,29
xEveuSx,Bronze I,Victory,2019-08-28,27,5,3,13,6.0,28
xEveuSx,Bronze I,Defeat,2019-08-28,40,0,10,18,1.8,29
xEveuSx,Bronze I,Defeat,2019-08-28,33,2,8,9,1.38,65
xEveuSx,Bronze I,Victory,2019-08-19,23,4,3,13,5.67,56
xEveuSx,Bronze I,Victory,2019-08-19,36,1,7,13,2.0,76
xEveuSx,Bronze I,Victory,2019-08-19,31,1,5,8,1.8,30
xEveuSx,Bronze I,Victory,2019-08-19,31,1,8,21,2.75,12
xEveuSx,Bronze I,Defeat,2019-08-19,31,3,7,16,2.71,28
xEveuSx,Bronze I,Victory,2019-08-10,18,1,1,10,11.0,29
xEveuSx,Bronze I,Defeat,2019-08-09,34,0,7,8,1.14,37
xEveuSx,Bronze I,Victory,2019-08-09,21,1,3,14,5.0,10
xEveuSx,Bronze I,Defeat,2019-08-09,26,6,9,2,0.89,73
xEveuSx,Bronze I,Victory,2019-08-06,27,2,4,7,2.25,134
xEveuSx,Bronze I,Victory,2019-08-06,29,4,5,6,2.0,144
xEveuSx,Bronze I,Victory,2019-08-06,36,7,8,16,2.88,175
xEveuSx,Bronze I,Defeat,2019-08-06,41,11,8,13,3.0,188
xEveuSx,Bronze I,Defeat,2019-08-02,34,0,10,7,0.7,52
xEveuSx,Bronze I,Victory,2019-07-25,37,0,7,14,2.0,70
xEveuSx,Bronze I,Victory,2019-07-01,29,3,2,6,4.5,143
xEveuSx,Bronze I,Defeat,2019-07-01,20,1,1,7,8.0,77
xEveuSx,Bronze I,Victory,2019-06-29,30,9,8,9,2.25,136
xEveuSx,Bronze I,Defeat,2019-06-21,29,2,6,3,0.83,126
xEveuSx,Bronze I,Victory,2019-06-21,37,10,6,12,3.67,191
xEveuSx,Bronze I,Victory,2019-06-21,21,1,1,10,11.0,85
xEveuSx,Bronze I,Victory,2019-06-21,24,4,2,0,2.0,113
xEveuSx,Bronze I,Victory,2019-06-13,27,3,5,3,1.2,131
xEveuSx,Bronze I,Victory,2019-06-13,28,5,5,1,1.2,123
