Summoner Name,Rank,W/L,Date,Duration (min),K,D,A,KDA,CS
xJoe98,Silver I,Defeat,2020-05-08,31,6,3,1,2.33,212
xJoe98,Silver I,Victory,2020-05-08,38,8,6,18,4.33,135
xJoe98,Silver I,Victory,2020-05-08,33,5,7,7,1.71,196
xJoe98,Silver I,Victory,2020-05-08,21,3,1,2,5.0,123
xJoe98,Silver I,Victory,2020-05-07,31,2,4,9,2.75,178
xJoe98,Silver I,Defeat,2020-05-07,43,5,8,38,5.38,37
xJoe98,Silver I,Defeat,2020-05-07,34,7,3,8,5.0,219
xJoe98,Silver I,Victory,2020-05-07,29,4,7,4,1.14,165
xJoe98,Silver I,Victory,2020-03-18,23,1,1,4,5.0,90
xJoe98,Silver I,Victory,2020-03-17,34,5,2,20,12.5,161
xJoe98,Silver I,Victory,2020-03-17,23,5,1,5,10.0,124
xJoe98,Silver I,Defeat,2020-03-03,24,0,8,8,1.0,30
xJoe98,Silver I,Victory,2020-03-03,26,1,2,0,0.5,111
xJoe98,Silver I,Defeat,2020-03-03,38,4,11,11,1.36,157
xJoe98,Silver I,Defeat,2020-03-02,40,11,11,11,2.0,161
xJoe98,Silver I,Victory,2020-03-01,36,4,7,6,1.43,124
xJoe98,Silver I,Defeat,2020-03-01,29,1,4,9,2.5,159
xJoe98,Silver I,Victory,2020-03-01,27,0,5,23,4.6,8
xJoe98,Silver I,Victory,2020-02-03,31,5,5,15,4.0,47
xJoe98,Silver I,Victory,2020-02-03,43,6,8,13,2.38,177
xJoe98,Silver I,Defeat,2020-01-30,26,3,6,8,1.83,36
xJoe98,Silver I,Victory,2020-01-30,39,7,7,18,3.57,34
xJoe98,Silver I,Defeat,2020-01-30,39,5,8,8,1.62,197
xJoe98,Silver I,Victory,2020-01-30,41,2,6,9,1.83,263
xJoe98,Silver I,Victory,2020-01-30,38,8,8,4,1.5,253
xJoe98,Silver I,Defeat,2020-01-29,38,0,0,0,0.0,41
xJoe98,Silver I,Victory,2020-01-29,15,6,2,5,5.5,82
xJoe98,Silver I,Victory,2020-01-29,37,9,10,16,2.5,174
xJoe98,Silver I,Victory,2020-01-29,39,13,3,13,8.67,274
xJoe98,Silver I,Defeat,2020-01-28,24,1,3,0,0.33,113
xJoe98,Silver I,Defeat,2020-01-28,23,5,2,0,2.5,102
xJoe98,Silver I,Victory,2020-01-28,32,12,4,4,4.0,186
xJoe98,Silver I,Defeat,2020-01-28,39,8,11,11,1.73,123
xJoe98,Silver I,Defeat,2020-01-28,21,2,6,3,0.83,75
xJoe98,Silver I,Defeat,2020-01-28,25,2,5,1,0.6,127
xJoe98,Silver I,Defeat,2020-01-21,44,2,12,25,2.25,43
xJoe98,Silver I,Victory,2020-01-21,36,4,5,23,5.4,37
xJoe98,Silver I,Victory,2020-01-17,38,13,8,10,2.88,259
xJoe98,Silver I,Defeat,2020-01-17,33,4,7,7,1.57,56
xJoe98,Silver I,Victory,2020-01-17,33,2,4,30,8.0,29
xJoe98,Silver I,Victory,2020-01-17,29,2,2,27,14.5,23
xJoe98,Silver I,Victory,2020-01-17,34,16,5,12,5.6,139
xJoe98,Silver I,Defeat,2020-01-15,31,4,6,8,2.0,152
xJoe98,Silver I,Victory,2019-12-10,21,5,0,10,15.0,121
xJoe98,Silver I,Defeat,2019-11-20,31,7,4,12,4.75,186
xJoe98,Silver I,Defeat,2019-11-17,34,9,7,10,2.71,178
xJoe98,Silver I,Defeat,2019-11-17,20,0,2,2,1.0,124
xJoe98,Silver I,Victory,2019-11-16,21,4,3,3,2.33,105
xJoe98,Silver I,Defeat,2019-11-16,38,5,6,23,4.67,24
xJoe98,Silver I,Defeat,2019-11-06,34,5,3,6,3.67,59
xJoe98,Silver I,Defeat,2019-10-26,31,2,6,11,2.17,15
xJoe98,Silver I,Victory,2019-10-26,23,12,1,9,21.0,165
xJoe98,Silver I,Victory,2019-10-26,30,5,3,8,4.33,162
xJoe98,Silver I,Defeat,2019-09-29,29,4,6,11,2.5,125
xJoe98,Silver I,Victory,2019-09-22,34,6,7,10,2.29,156
xJoe98,Silver I,Defeat,2019-09-21,26,1,8,6,0.88,95
xJoe98,Silver I,Victory,2019-09-21,23,5,0,9,14.0,123
xJoe98,Silver I,Victory,2019-09-21,38,9,8,10,2.38,169
xJoe98,Silver I,Victory,2019-09-21,31,3,4,5,2.0,164
xJoe98,Silver I,Defeat,2019-09-09,31,3,8,4,0.88,181
xJoe98,Silver I,Defeat,2019-09-07,25,3,8,4,0.88,81
xJoe98,Silver I,Defeat,2019-09-02,35,8,7,10,2.57,168
xJoe98,Silver I,Defeat,2019-08-26,25,7,4,1,2.0,145
xJoe98,Silver I,Defeat,2019-08-26,29,5,5,9,2.8,177
xJoe98,Silver I,Defeat,2019-08-24,30,5,5,4,1.8,204
xJoe98,Silver I,Victory,2019-08-24,22,14,3,5,6.33,146
xJoe98,Silver I,Defeat,2019-08-18,29,3,5,9,2.4,133
xJoe98,Silver I,Defeat,2019-08-18,23,2,3,4,2.0,114
xJoe98,Silver I,Victory,2019-08-18,29,9,6,16,4.17,171
xJoe98,Silver I,Defeat,2019-08-18,19,2,5,2,0.8,21
xJoe98,Silver I,Victory,2019-08-17,29,7,4,11,4.5,158
xJoe98,Silver I,Defeat,2019-08-17,28,4,6,7,1.83,120
xJoe98,Silver I,Victory,2019-08-07,31,6,3,12,6.0,158
xJoe98,Silver I,Defeat,2019-08-07,51,16,6,16,5.33,305
xJoe98,Silver I,Defeat,2019-08-05,35,5,4,11,4.0,52
xJoe98,Silver I,Defeat,2019-08-02,35,3,8,12,1.88,63
xJoe98,Silver I,Victory,2019-08-02,22,4,3,16,6.67,118
xJoe98,Silver I,Victory,2019-08-02,40,5,4,9,3.5,274
xJoe98,Silver I,Victory,2019-07-29,29,8,2,9,8.5,174
xJoe98,Silver I,Defeat,2019-07-26,25,6,3,3,3.0,129
xJoe98,Silver I,Victory,2019-07-26,15,2,0,2,4.0,18
xJoe98,Silver I,Victory,2019-07-26,28,2,9,12,1.56,105
xJoe98,Silver I,Defeat,2019-07-26,33,3,3,7,3.33,195
xJoe98,Silver I,Defeat,2019-07-26,22,3,4,1,1.0,26
xJoe98,Silver I,Defeat,2019-07-25,38,0,0,0,0.0,8
xJoe98,Silver I,Defeat,2019-07-25,32,2,6,8,1.67,197
xJoe98,Silver I,Defeat,2019-07-25,27,2,6,1,0.5,156
xJoe98,Silver I,Victory,2019-07-25,39,8,6,25,5.5,22
xJoe98,Silver I,Defeat,2019-07-24,28,5,5,7,2.4,31
xJoe98,Silver I,Victory,2019-07-24,24,2,3,15,5.67,27
xJoe98,Silver I,Victory,2019-07-24,34,15,4,20,8.75,39
xJoe98,Silver I,Victory,2019-07-23,30,6,7,11,2.43,192
xJoe98,Silver I,Defeat,2019-07-23,35,10,6,7,2.83,137
xJoe98,Silver I,Defeat,2019-07-23,28,2,5,5,1.4,136
xJoe98,Silver I,Defeat,2019-07-23,28,2,5,4,1.2,166
xJoe98,Silver I,Victory,2019-07-23,24,8,1,8,16.0,159
xJoe98,Silver I,Defeat,2019-07-23,21,2,5,1,0.6,105
