Summoner Name,Rank,W/L,Date,Duration (min),K,D,A,KDA,CS
xciberwolfx,Iron I,Defeat,2020-08-02,18,0,5,2,0.4,57
xciberwolfx,Iron I,Defeat,2020-08-02,24,1,5,3,0.8,87
xciberwolfx,Iron I,Victory,2020-08-02,27,6,4,4,2.5,198
xciberwolfx,Iron I,Defeat,2020-08-02,22,0,4,2,0.5,84
xciberwolfx,Iron I,Victory,2020-05-03,35,4,5,9,2.6,162
xciberwolfx,Iron I,Defeat,2020-04-29,33,2,10,2,0.4,172
xciberwolfx,Iron I,Defeat,2020-04-29,41,3,13,8,0.85,174
xciberwolfx,Iron I,Victory,2020-02-21,27,1,3,4,1.67,126
xciberwolfx,Iron I,Victory,2020-02-21,30,6,5,15,4.2,105
xciberwolfx,Iron I,Victory,2020-02-21,32,2,9,5,0.78,112
xciberwolfx,Iron I,Victory,2020-02-16,22,11,3,3,4.67,130
xciberwolfx,Iron I,Defeat,2020-02-16,34,1,15,4,0.33,89
xciberwolfx,Iron I,Defeat,2020-02-15,28,5,8,8,1.62,174
xciberwolfx,Iron I,Victory,2020-02-15,27,3,8,1,0.5,106
xciberwolfx,Iron I,Victory,2020-02-14,39,2,8,8,1.25,187
xciberwolfx,Iron I,Defeat,2020-02-03,30,8,13,6,1.08,118
xciberwolfx,Iron I,Victory,2020-02-02,48,5,16,14,1.19,174
xciberwolfx,Iron I,Victory,2020-02-02,25,1,6,2,0.5,125
xciberwolfx,Iron I,Defeat,2020-02-02,30,4,8,3,0.88,152
xciberwolfx,Iron I,Victory,2020-02-02,35,8,6,3,1.83,184
xciberwolfx,Iron I,Victory,2020-02-02,31,6,8,7,1.62,157
xciberwolfx,Iron I,Victory,2020-02-02,35,13,10,6,1.9,165
xciberwolfx,Iron I,Defeat,2020-01-11,37,2,11,10,1.09,151
xciberwolfx,Iron I,Defeat,2020-01-11,20,7,7,0,1.0,104
xciberwolfx,Iron I,Defeat,2020-01-11,31,9,13,9,1.38,122
xciberwolfx,Iron I,Defeat,2020-01-06,30,3,12,7,0.83,101
xciberwolfx,Iron I,Defeat,2020-01-06,36,2,6,8,1.67,117
xciberwolfx,Iron I,Defeat,2020-01-06,22,5,4,1,1.5,137
xciberwolfx,Iron I,Defeat,2020-01-03,27,3,8,4,0.88,112
xciberwolfx,Iron I,Victory,2020-01-03,34,3,6,7,1.67,118
xciberwolfx,Iron I,Defeat,2020-01-03,35,8,9,5,1.44,195
xciberwolfx,Iron I,Victory,2019-12-29,28,4,5,7,2.2,134
xciberwolfx,Iron I,Defeat,2019-12-06,21,0,3,0,0.0,58
xciberwolfx,Iron I,Defeat,2019-12-02,35,1,12,9,0.83,166
xciberwolfx,Iron I,Defeat,2019-12-02,36,2,10,8,1.0,126
xciberwolfx,Iron I,Victory,2019-10-28,38,3,8,5,1.0,135
xciberwolfx,Iron I,Victory,2019-10-28,22,1,2,5,3.0,119
xciberwolfx,Iron I,Defeat,2019-10-21,40,4,16,6,0.62,134
