Summoner Name,Rank,W/L,Date,Duration (min),K,D,A,KDA,CS
xxjhin hierro4,Bronze I,Victory,2020-11-17,33,5,5,9,2.8,172
xxjhin hierro4,Bronze I,Victory,2020-11-17,22,4,0,5,9.0,91
xxjhin hierro4,Bronze I,Defeat,2020-11-12,41,5,8,17,2.75,145
xxjhin hierro4,Bronze I,Defeat,2020-11-10,20,8,3,0,2.67,64
xxjhin hierro4,Bronze I,Victory,2020-11-09,29,9,3,13,7.33,156
xxjhin hierro4,Bronze I,Victory,2020-10-04,33,13,10,10,2.3,204
xxjhin hierro4,Bronze I,Defeat,2020-10-04,34,3,9,7,1.11,145
xxjhin hierro4,Bronze I,Defeat,2020-09-14,25,7,8,4,1.38,131
xxjhin hierro4,Bronze I,Victory,2020-09-11,32,11,6,9,3.33,153
xxjhin hierro4,Bronze I,Victory,2020-09-07,35,4,8,11,1.88,135
xxjhin hierro4,Bronze I,Victory,2020-08-15,26,3,9,1,0.44,110
xxjhin hierro4,Bronze I,Defeat,2020-08-09,28,8,5,8,3.2,182
xxjhin hierro4,Bronze I,Defeat,2020-08-09,29,9,9,4,1.44,176
xxjhin hierro4,Bronze I,Victory,2020-08-09,38,12,9,7,2.11,210
xxjhin hierro4,Bronze I,Defeat,2020-08-09,42,7,15,21,1.87,236
xxjhin hierro4,Bronze I,Defeat,2020-08-09,26,4,7,5,1.29,125
xxjhin hierro4,Bronze I,Victory,2020-08-08,33,10,8,10,2.5,199
xxjhin hierro4,Bronze I,Victory,2020-08-08,40,9,12,6,1.25,259
xxjhin hierro4,Bronze I,Defeat,2020-08-02,35,6,8,8,1.75,195
xxjhin hierro4,Bronze I,Victory,2020-07-26,43,2,11,12,1.27,184
xxjhin hierro4,Bronze I,Defeat,2020-07-04,16,5,7,1,0.86,56
xxjhin hierro4,Bronze I,Defeat,2020-07-04,21,1,6,1,0.33,93
xxjhin hierro4,Bronze I,Defeat,2020-07-03,22,11,7,0,1.57,141
xxjhin hierro4,Bronze I,Victory,2020-07-03,34,7,8,4,1.38,125
xxjhin hierro4,Bronze I,Defeat,2020-07-03,36,7,11,7,1.27,129
xxjhin hierro4,Bronze I,Victory,2019-12-23,38,7,4,4,2.75,188
xxjhin hierro4,Bronze I,Victory,2019-11-11,27,9,3,8,5.67,156
xxjhin hierro4,Bronze I,Victory,2019-11-11,34,8,4,9,4.25,252
xxjhin hierro4,Bronze I,Victory,2019-11-10,30,2,5,8,2.0,127
xxjhin hierro4,Bronze I,Defeat,2019-11-10,26,2,8,3,0.62,38
xxjhin hierro4,Bronze I,Victory,2019-11-09,25,10,5,5,3.0,142
xxjhin hierro4,Bronze I,Defeat,2019-10-25,35,5,7,4,1.29,190
xxjhin hierro4,Bronze I,Defeat,2019-10-21,35,0,5,9,1.8,48
xxjhin hierro4,Bronze I,Defeat,2019-10-21,30,3,5,5,1.6,133
xxjhin hierro4,Bronze I,Victory,2019-10-19,37,7,8,7,1.75,150
xxjhin hierro4,Bronze I,Defeat,2019-10-07,30,5,9,11,1.78,58
xxjhin hierro4,Bronze I,Victory,2019-10-07,24,8,7,11,2.71,36
xxjhin hierro4,Bronze I,Victory,2019-10-07,24,2,6,10,2.0,60
xxjhin hierro4,Bronze I,Victory,2019-10-07,33,14,8,5,2.38,233
xxjhin hierro4,Bronze I,Victory,2019-10-07,41,9,9,13,2.44,250
xxjhin hierro4,Bronze I,Defeat,2019-10-06,38,12,9,5,1.89,322
xxjhin hierro4,Bronze I,Victory,2019-10-06,32,3,9,15,2.0,58
xxjhin hierro4,Bronze I,Victory,2019-10-06,42,14,14,12,1.86,256
xxjhin hierro4,Bronze I,Defeat,2019-10-02,18,1,7,2,0.43,91
xxjhin hierro4,Bronze I,Defeat,2019-10-01,31,6,5,4,2.0,207
xxjhin hierro4,Bronze I,Victory,2019-09-28,31,8,6,8,2.67,192
xxjhin hierro4,Bronze I,Victory,2019-09-28,34,10,13,7,1.31,100
xxjhin hierro4,Bronze I,Victory,2019-09-21,24,4,4,8,3.0,83
xxjhin hierro4,Bronze I,Defeat,2019-09-21,29,9,5,2,2.2,188
xxjhin hierro4,Bronze I,Defeat,2019-09-03,30,8,13,6,1.08,140
xxjhin hierro4,Bronze I,Defeat,2019-08-12,36,2,10,7,0.9,192
xxjhin hierro4,Bronze I,Victory,2019-08-12,38,6,8,4,1.25,162
xxjhin hierro4,Bronze I,Defeat,2019-08-11,19,0,5,2,0.4,62
xxjhin hierro4,Bronze I,Defeat,2019-08-11,32,6,6,9,2.5,141
xxjhin hierro4,Bronze I,Victory,2019-08-11,30,12,5,10,4.4,198
xxjhin hierro4,Bronze I,Victory,2019-08-11,38,4,9,6,1.11,233
xxjhin hierro4,Bronze I,Victory,2019-08-11,36,17,6,8,4.17,187
xxjhin hierro4,Bronze I,Victory,2019-08-11,38,17,8,8,3.12,198
xxjhin hierro4,Bronze I,Defeat,2019-08-11,32,7,12,2,0.75,216
xxjhin hierro4,Bronze I,Defeat,2019-08-08,23,1,6,0,0.17,45
xxjhin hierro4,Bronze I,Victory,2019-08-08,23,12,2,1,6.5,187
xxjhin hierro4,Bronze I,Victory,2019-08-02,22,9,7,3,1.71,125
xxjhin hierro4,Bronze I,Defeat,2019-08-02,31,3,9,5,0.89,154
xxjhin hierro4,Bronze I,Victory,2019-08-02,31,8,6,9,2.83,100
xxjhin hierro4,Bronze I,Victory,2019-08-01,32,18,6,3,3.5,172
xxjhin hierro4,Bronze I,Victory,2019-08-01,29,4,2,8,6.0,165
xxjhin hierro4,Bronze I,Victory,2019-07-15,31,3,3,4,2.33,134
xxjhin hierro4,Bronze I,Victory,2019-07-10,29,24,4,5,7.25,188
xxjhin hierro4,Bronze I,Victory,2019-07-10,16,1,3,1,0.67,86
xxjhin hierro4,Bronze I,Defeat,2019-06-29,33,0,9,1,0.11,54
xxjhin hierro4,Bronze I,Defeat,2019-06-29,31,6,9,7,1.44,164
xxjhin hierro4,Bronze I,Defeat,2019-06-25,37,6,11,10,1.45,135
xxjhin hierro4,Bronze I,Defeat,2019-05-29,29,5,7,4,1.29,82
xxjhin hierro4,Bronze I,Victory,2019-05-19,37,5,6,7,2.0,220
xxjhin hierro4,Bronze I,Victory,2019-05-19,45,19,15,10,1.93,258
xxjhin hierro4,Bronze I,Victory,2019-05-10,48,15,7,8,3.29,286
xxjhin hierro4,Bronze I,Victory,2019-05-10,30,8,5,2,2.0,165
xxjhin hierro4,Bronze I,Victory,2019-05-10,26,4,6,9,2.17,103
xxjhin hierro4,Bronze I,Victory,2019-05-04,23,2,3,3,1.67,114
xxjhin hierro4,Bronze I,Defeat,2019-05-04,27,3,4,2,1.25,141
xxjhin hierro4,Bronze I,Victory,2019-05-02,28,5,3,10,5.0,89
xxjhin hierro4,Bronze I,Victory,2019-05-02,24,5,0,7,12.0,89
xxjhin hierro4,Bronze I,Defeat,2019-05-01,40,15,5,12,5.4,223
xxjhin hierro4,Bronze I,Victory,2019-04-30,27,4,3,5,3.0,127
xxjhin hierro4,Bronze I,Defeat,2019-04-28,31,5,7,4,1.29,86
xxjhin hierro4,Bronze I,Victory,2019-04-28,27,5,8,8,1.62,117
xxjhin hierro4,Bronze I,Victory,2019-04-28,40,3,9,9,1.33,164
xxjhin hierro4,Bronze I,Defeat,2019-04-25,37,5,5,11,3.2,146
xxjhin hierro4,Bronze I,Defeat,2019-04-24,44,19,10,13,3.2,201
xxjhin hierro4,Bronze I,Victory,2019-04-21,23,13,4,8,5.25,111
xxjhin hierro4,Bronze I,Victory,2019-04-21,38,12,6,10,3.67,181
xxjhin hierro4,Bronze I,Defeat,2019-04-21,32,11,12,5,1.33,122
xxjhin hierro4,Bronze I,Victory,2019-04-21,34,9,5,12,4.2,199
