Summoner Name,Rank,W/L,Date,Duration (min),K,D,A,KDA,CS
ÆvttasihdoÆ,Diamond I,Defeat,2020-11-16,31,8,10,4,1.2,212
ÆvttasihdoÆ,Diamond I,Victory,2020-11-15,28,7,10,5,1.2,162
ÆvttasihdoÆ,Diamond I,Defeat,2020-10-30,31,5,7,10,2.14,213
ÆvttasihdoÆ,Diamond I,Victory,2020-10-30,21,3,3,15,6.0,145
ÆvttasihdoÆ,Diamond I,Defeat,2020-10-30,42,4,12,16,1.67,234
ÆvttasihdoÆ,Diamond I,Victory,2020-10-30,38,4,2,8,6.0,271
ÆvttasihdoÆ,Diamond I,Victory,2020-10-30,17,7,0,5,12.0,141
ÆvttasihdoÆ,Diamond I,Victory,2020-10-30,32,15,4,4,4.75,236
ÆvttasihdoÆ,Diamond I,Victory,2020-10-29,24,9,2,7,8.0,150
ÆvttasihdoÆ,Diamond I,Defeat,2020-10-29,22,2,4,0,0.5,146
ÆvttasihdoÆ,Diamond I,Victory,2020-10-28,28,12,1,10,22.0,250
ÆvttasihdoÆ,Diamond I,Defeat,2020-10-28,42,12,8,13,3.12,296
ÆvttasihdoÆ,Diamond I,Victory,2020-10-28,32,6,8,13,2.38,185
ÆvttasihdoÆ,Diamond I,Defeat,2020-10-28,24,0,5,2,0.4,176
ÆvttasihdoÆ,Diamond I,Defeat,2020-10-28,27,7,4,4,2.75,162
ÆvttasihdoÆ,Diamond I,Defeat,2020-10-28,15,2,2,0,1.0,95
ÆvttasihdoÆ,Diamond I,Defeat,2020-10-27,36,7,9,10,1.89,210
ÆvttasihdoÆ,Diamond I,Defeat,2020-10-27,32,8,7,5,1.86,150
ÆvttasihdoÆ,Diamond I,Victory,2020-10-27,31,8,10,6,1.4,177
ÆvttasihdoÆ,Diamond I,Victory,2020-10-27,31,1,7,9,1.43,46
ÆvttasihdoÆ,Diamond I,Victory,2020-10-27,17,3,3,5,2.67,117
ÆvttasihdoÆ,Diamond I,Victory,2020-10-27,24,4,3,1,1.67,156
ÆvttasihdoÆ,Diamond I,Victory,2020-10-27,32,10,8,13,2.88,195
ÆvttasihdoÆ,Diamond I,Victory,2020-10-26,35,7,5,12,3.8,215
ÆvttasihdoÆ,Diamond I,Victory,2020-10-26,30,10,7,11,3.0,204
ÆvttasihdoÆ,Diamond I,Victory,2020-10-26,15,4,2,2,3.0,115
ÆvttasihdoÆ,Diamond I,Defeat,2020-10-26,20,5,2,3,4.0,150
ÆvttasihdoÆ,Diamond I,Defeat,2020-10-26,31,5,3,8,4.33,206
ÆvttasihdoÆ,Diamond I,Defeat,2020-10-26,32,6,9,1,0.78,162
ÆvttasihdoÆ,Diamond I,Defeat,2020-10-25,36,6,5,5,2.2,202
ÆvttasihdoÆ,Diamond I,Defeat,2020-10-25,36,6,11,10,1.45,149
ÆvttasihdoÆ,Diamond I,Victory,2020-10-25,28,5,4,14,4.75,163
ÆvttasihdoÆ,Diamond I,Victory,2020-10-25,15,2,2,0,1.0,97
ÆvttasihdoÆ,Diamond I,Defeat,2020-10-25,32,4,7,9,1.86,232
ÆvttasihdoÆ,Diamond I,Defeat,2020-10-25,34,7,5,10,3.4,220
ÆvttasihdoÆ,Diamond I,Victory,2020-10-25,26,16,5,9,5.0,199
ÆvttasihdoÆ,Diamond I,Victory,2020-10-25,32,9,6,14,3.83,143
ÆvttasihdoÆ,Diamond I,Defeat,2020-10-24,25,4,7,3,1.0,180
ÆvttasihdoÆ,Diamond I,Defeat,2020-10-24,22,5,6,5,1.67,114
ÆvttasihdoÆ,Diamond I,Victory,2020-10-24,28,5,3,14,6.33,154
ÆvttasihdoÆ,Diamond I,Defeat,2020-10-24,32,1,6,8,1.5,234
ÆvttasihdoÆ,Diamond I,Defeat,2020-10-24,34,7,9,3,1.11,199
ÆvttasihdoÆ,Diamond I,Victory,2020-10-24,15,0,0,0,0.0,104
ÆvttasihdoÆ,Diamond I,Defeat,2020-10-24,20,3,5,4,1.4,110
