,Title,Director,Release Year
0,Castle in the Sky,Hayao Miyazaki,1986
1,Grave of the Fireflies,Isao Takahata,1988
2,My Neighbor Totoro,Hayao Miyazaki,1988
3,Kiki's Delivery Service,Hayao Miyazaki,1989
4,Only Yesterday,Isao Takahata,1991
5,Porco Rosso,Hayao Miyazaki,1992
6,Pom Poko,Isao Takahata,1994
7,Whisper of the Heart,Yoshifumi Kondō,1995
8,Princess Mononoke,Hayao Miyazaki,1997
9,My Neighbors the Yamadas,Isao Takahata,1999
10,Spirited Away,Hayao Miyazaki,2001
11,The Cat Returns,Hiroyuki Morita,2002
12,Howl's Moving Castle,Hayao Miyazaki,2004
13,Tales from Earthsea,Gorō Miyazaki,2006
14,Ponyo,Hayao Miyazaki,2008
15,Arrietty,Hiromasa Yonebayashi,2010
16,From Up on Poppy Hill,Gorō Miyazaki,2011
17,The Wind Rises,Hayao Miyazaki,2013
18,The Tale of the Princess Kaguya,Isao Takahata,2013
19,When Marnie Was There,Hiromasa Yonebayashi,2014
