Date,Volumen BTC,BTC-USD,SP500-USD,Volumen SP500,VIX
2019-05-15,4.219687499999997,8180.425,285.059998,73956400,16.440001000000002
2019-05-16,4.287890624999998,7875.1633,287.700012,76749600,15.29
2019-05-17,4.114192708333329,7376.8533,285.839996,100353000,15.96
2019-05-20,4.34791666666667,7995.965,283.950012,62877600,16.309998999999998
2019-05-21,4.12614583333334,7945.045,286.51001,46847100,14.95
2019-05-22,4.523307291666679,7623.5133,285.630005,49482500,14.75
2019-05-23,4.2996093750000135,7875.9967,282.140015,98733800,16.92
2019-05-24,4.28632812500001,7998.22,282.77999900000003,55268100,15.85
2019-05-28,4.332812500000006,8724.455,280.149994,70029400,17.5
2019-05-29,4.50169270833334,8670.265,278.269989,104972900,17.9
2019-05-30,4.342838541666676,8273.0117,279.02999900000003,62523800,17.299999
2019-05-31,3.653776041666675,8544.97,275.269989,86862800,18.709999
2019-06-03,3.6329427083333394,8105.13,274.570007,96428000,18.860001
2019-06-04,3.902083333333339,7677.3983,280.52999900000003,77231900,16.969998999999998
2019-06-05,4.130989583333336,7785.985,282.959991,71169700,16.09
2019-06-06,4.0359375,7806.715,284.799988,69430400,15.93
2019-06-07,3.7915625,8001.2767,287.649994,74272200,16.299999
2019-06-10,3.975260416666664,8016.6917,288.97000099999997,60799100,15.94
2019-06-11,3.735026041666662,7913.8933,288.899994,58641300,15.99
2019-06-12,3.742187499999993,8173.3567,288.390015,46984700,15.91
2019-06-13,3.8826041666666598,8232.7533,289.579987,48945200,15.82
2019-06-14,4.165755208333329,8693.765,289.26001,52324700,15.28
2019-06-17,3.88893229166666,9340.25,289.369995,39205700,15.35
2019-06-18,4.152994791666659,9083.8167,292.399994,85434800,15.15
2019-06-19,4.331041666666659,9288.5367,293.059998,78674400,14.33
2019-06-20,3.7945312499999906,9539.7883,295.859985,116570000,14.75
2019-06-21,4.077734374999988,10232.9167,294.0,83309500,15.4
2019-06-24,4.339453124999985,11041.8533,293.640015,47582700,15.26
2019-06-25,4.237083333333319,11752.6783,290.76001,82028700,16.280001000000002
2019-06-26,4.870963541666652,12907.135,290.47000099999997,51584900,16.209999
2019-06-27,4.054036458333315,11170.885,291.5,40355200,15.82
2019-06-28,3.766276041666648,12356.2783,293.0,59350900,15.08
2019-07-01,3.9838541666666516,10599.3267,295.660004,79107500,14.06
2019-07-02,3.997135416666654,10850.4,296.429993,61504500,12.93
2019-07-03,4.488020833333321,11976.6317,298.799988,40898900,12.57
2019-07-05,4.057421874999994,10996.4267,298.459991,51677300,13.28
2019-07-08,4.2240885416666565,12294.6567,296.820007,45841800,13.96
2019-07-09,4.132161458333324,12563.215,297.190002,41101300,14.09
2019-07-10,3.4076822916666596,12096.6533,298.609985,58448500,13.03
2019-07-11,3.351822916666661,11345.7717,299.309998,50826100,12.93
2019-07-12,3.6128124999999978,11789.3367,300.649994,40326000,12.39
2019-07-15,3.8602864583333347,10842.4517,300.75,33900000,12.68
2019-07-16,4.093098958333334,9422.4517,299.77999900000003,36650100,12.86
2019-07-17,3.670182291666668,9692.7067,297.73999,36036300,13.97
2019-07-18,3.3874999999999993,10636.91,298.829987,51392600,13.53
2019-07-19,3.0351562499999987,10526.3917,297.170013,58678600,14.45
2019-07-22,3.5602864583333313,10325.825,297.899994,43638100,13.53
2019-07-23,3.3859374999999985,9849.82,300.02999900000003,44564500,12.61
2019-07-24,3.421744791666667,9771.5667,301.440002,47213200,12.07
2019-07-25,3.6054687499999996,9882.1,300.0,55394100,12.74
2019-07-26,3.5720052083333327,9844.5583,302.01001,45084100,12.16
2019-07-29,3.6546875000000005,9501.0317,301.459991,38126500,12.83
2019-07-30,3.612890624999999,9588.6033,300.72000099999997,45849000,13.94
2019-07-31,4.153906249999999,10090.535,297.429993,104245200,16.120001000000002
2019-08-01,3.7371093749999966,10405.2067,294.839996,142646600,17.870001000000002
2019-08-02,3.9121093749999973,10526.2167,292.619995,116749700,17.610001
2019-08-05,3.954687500000004,11802.0167,283.820007,178745400,24.59
2019-08-06,4.02005208333334,11467.1983,287.799988,120711700,20.17
2019-08-07,4.423828125000007,11981.1517,287.97000099999997,140572300,19.49
2019-08-08,3.521354166666674,12010.8983,293.619995,87713900,16.91
2019-08-09,3.6934895833333403,11868.7533,291.619995,93730000,17.969998999999998
2019-08-12,3.7257812500000025,11396.5433,288.070007,62629500,21.09
2019-08-13,3.9106770833333346,10875.3483,292.549988,94299800,17.52
2019-08-14,3.956770833333334,10036.1867,283.899994,135622100,22.1
2019-08-15,3.832291666666665,10307.895,284.649994,99556600,21.18
2019-08-16,3.5052083333333313,10358.7683,288.850006,83018300,18.469998999999998
2019-08-19,3.666015625,10924.965,292.329987,53571800,16.879998999999998
2019-08-20,3.707421875000001,10776.9083,290.089996,51596400,17.5
2019-08-21,3.421979166666668,10133.3483,292.450012,49524700,15.8
2019-08-22,3.5355468750000028,10113.2,292.359985,51666400,16.68
2019-08-23,3.812109375000003,10406.7433,284.850006,149161500,19.870001000000002
2019-08-26,3.544270833333337,10365.1783,288.0,72423800,19.32
2019-08-27,3.6507291666666704,10177.9267,286.869995,66668900,20.309998999999998
2019-08-28,3.853385416666671,9723.805,288.890015,59696700,19.35
2019-08-29,3.7177083333333365,9500.6367,292.579987,57899400,17.879998999999998
2019-08-30,3.8585937500000043,9588.0717,292.450012,62901200,18.98
2019-09-03,4.114322916666672,10634.6433,290.73999,69101400,19.66
2019-09-04,3.579817708333339,10583.6617,294.040009,46887300,17.33
2019-09-05,3.9180989583333368,10580.27,297.820007,83258100,16.27
2019-09-06,3.941276041666667,10308.0367,298.049988,49584300,15.0
2019-09-09,3.6450520833333284,10314.9717,298.200012,51260300,15.27
2019-09-10,3.7549479166666617,10107.7217,298.130005,57947100,15.2
2019-09-11,3.6940104166666616,10164.0867,300.25,68821100,14.61
2019-09-12,3.6630208333333303,10433.5567,301.290009,72908700,14.22
2019-09-13,3.4332291666666657,10372.5533,301.089996,62104800,13.74
2019-09-16,3.876692708333332,10271.015,300.160004,58191200,14.67
2019-09-17,3.823567708333332,10199.905,300.920013,41475500,14.44
2019-09-18,3.962239583333334,10165.3267,301.100006,73375800,13.95
2019-09-19,3.7993750000000004,10282.6567,301.079987,76560500,14.05
2019-09-20,3.8102864583333345,10179.955,298.27999900000003,89565000,15.32
2019-09-23,3.347395833333336,9694.5067,298.209991,43476800,14.91
2019-09-24,3.664453125000003,8538.105,295.869995,94869400,17.049999
2019-09-25,3.8126041666666723,8449.9167,297.619995,71854000,15.96
2019-09-26,3.8723958333333397,8075.9667,297.0,56179700,16.07
2019-09-27,3.3356770833333416,8200.2833,295.399994,84746600,17.219998999999998
2019-09-30,3.378645833333342,8316.8767,296.769989,51662400,16.24
2019-10-01,3.738932291666674,8326.58,293.23999,88242400,18.559998999999998
2019-10-02,3.653385416666674,8395.2183,288.059998,122539500,20.559998999999998
2019-10-03,3.683984375000006,8246.5417,290.420013,85278800,19.120001000000002
2019-10-04,3.7722656250000037,8161.3483,294.350006,65091200,17.040001
2019-10-07,3.680989583333336,8217.6333,293.079987,59610500,17.860001
2019-10-08,3.7479166666666734,8191.0717,288.52999900000003,95708100,20.280001000000002
2019-10-09,3.4378906250000085,8596.4533,291.269989,62359400,18.639999
2019-10-10,3.798307291666675,8590.3733,293.23999,55296300,17.57
2019-10-11,3.8378906250000093,8272.395,296.27999900000003,98720400,15.58
2019-10-14,3.4023437500000067,8362.0733,295.950012,40394800,14.57
2019-10-15,3.7657552083333425,8171.27,298.880005,46754500,13.54
2019-10-16,3.670052083333344,8002.8483,298.399994,48928200,13.68
2019-10-17,3.7272135416666803,8081.3133,299.27999900000003,45736600,13.79
2019-10-18,3.7273958333333495,7966.2667,297.97000099999997,64304000,14.25
2019-10-21,3.929817708333346,8221.3733,299.98999,39048600,14.0
2019-10-22,3.819921875000012,8034.545,299.01001,48594700,14.46
2019-10-23,3.804375000000012,7478.905,299.880005,34352200,14.01
2019-10-24,3.345312500000013,7435.8467,300.369995,35453100,13.71
2019-10-25,3.6824218750000113,8671.5083,301.600006,45205400,12.65
