Coin name,Symbol,CMC rank,Price (MXN),24h volume,1h % change,24h % change,7d % change,Market cap
Waves,WAVES,33,151.8931580310599,5273866855.686199,2.19137022,19.79766672,74.86208089,15736752718.820467
XRP,XRP,3,9.440067423737657,393342474959.1681,3.36590956,16.07742437,73.73555133,427900840554.7595
yearn.finance,YFI,32,543889.1750607906,22328112426.31324,4.60949337,4.93423109,54.53437352,16299132679.07234
Reserve Rights,RSR,67,0.4782693094248077,2765192965.951642,1.64656768,-3.43737507,46.48933735,4471817564.852614
Numeraire,NMR,79,688.5392425718115,921693460.9773098,1.00888107,30.71277114,42.57108109,3058308559.8099337
Balancer,BAL,89,353.8701741686706,2354925291.9040985,0.97808445,10.48735646,38.29598211,2457214685.367814
Cardano,ADA,10,2.8391601634655292,37958086000.33412,3.11299787,9.81715366,37.51957876,88333326993.35612
Litecoin,LTC,6,1703.334040682632,124424618225.69096,0.79888047,-0.63380158,35.63838306,112293193603.60168
NEAR Protocol,NEAR,68,22.265313127297613,1099473364.2756467,-0.3632913,-3.50114428,34.88159686,4384285496.250249
Stellar,XLM,15,2.1563004280660403,13982279389.061613,2.66481452,4.47326921,32.37091841,45330050407.544205
Augur,REP,75,305.5404859564525,234795072.65238923,0.52033077,-1.36748771,32.17915824,3360945345.5209775
Status,SNT,93,0.6744281767108821,1330807314.8868783,0.85282435,11.18427858,32.01801948,2340592053.445515
OKB,OKB,47,124.25875503076685,2436755994.3244987,-1.22761888,5.30622179,31.58448885,7455525301.846011
Aragon,ANT,76,85.1337748576677,1185036532.125885,3.25289464,26.40002645,31.03711158,3372108197.085654
Qtum,QTUM,58,52.50949007794729,7954504273.288928,0.76550079,-1.59544675,30.9913317,5115088665.837069
SushiSwap,SUSHI,57,33.37991718120176,2692608520.166507,1.79382613,4.03720165,30.03122145,5195087325.143769
IOTA,MIOTA,28,6.548179389117391,890519096.9465079,3.80686455,4.87560898,29.89811484,18200862910.56823
Polkadot,DOT,8,113.47382959683918,21065958433.69604,0.98325485,-0.10386738,28.15978971,99892154071.12115
Bitcoin Gold,BTG,73,192.17577669522794,235074592.06273872,3.23581194,-1.10522521,28.03865442,3365751868.6969495
VeChain,VET,27,0.28468838722485434,3382698124.9912214,2.33274312,1.12392983,27.42371875,18309897886.434364
Band Protocol,BAND,83,140.41958529793106,2992064570.1469836,0.11012605,-4.96812133,26.52147267,2877763547.1896615
Ethereum,ETH,2,11390.309378867949,444961940234.54266,2.38918321,4.4651367,26.08519693,1293187809298.0276
Celsius,CEL,39,48.440747423689594,137139622.6671681,2.47335309,5.51071905,26.02621682,11570727432.624739
