0,1,2,3,4,5
Date,Open,High,Low,Close,AdjClose
"May 12, 2020",28.47,33.04,26.00,33.04,33.04
"May 11, 2020",28.46,31.46,26.97,27.57,27.57
"May 08, 2020",30.14,30.39,27.89,27.98,27.98
"May 07, 2020",32.12,32.28,30.37,31.44,31.44
"May 06, 2020",32.69,35.69,31.68,34.12,34.12
"May 05, 2020",34.82,36.22,31.95,33.61,33.61
"May 04, 2020",39.13,40.32,35.53,35.97,35.97
"May 01, 2020",38.17,39.57,36.59,37.19,37.19
"Apr 30, 2020",30.99,35.94,30.93,34.15,34.15
"Apr 29, 2020",32.48,33.19,30.71,31.23,31.23
"Apr 28, 2020",33.21,35.39,30.54,33.57,33.57
"Apr 27, 2020",36.29,36.44,32.51,33.29,33.29
"Apr 24, 2020",38.80,40.17,35.60,35.93,35.93
"Apr 23, 2020",41.30,42.47,39.06,41.38,41.38
"Apr 22, 2020",44.91,45.07,41.41,41.98,41.98
"Apr 21, 2020",44.28,47.77,43.77,45.41,45.41
"Apr 20, 2020",40.68,43.83,39.88,43.83,43.83
"Apr 17, 2020",39.50,40.26,37.63,38.15,38.15
"Apr 16, 2020",41.92,43.02,39.87,40.11,40.11
"Apr 15, 2020",42.57,43.23,40.05,40.84,40.84
"Apr 14, 2020",40.24,40.57,37.31,37.76,37.76
"Apr 13, 2020",44.60,45.04,41.17,41.17,41.17
"Apr 09, 2020",43.00,45.73,41.39,41.67,41.67
"Apr 08, 2020",45.90,47.28,42.53,43.35,43.35
"Apr 07, 2020",44.83,47.51,43.51,46.70,46.70
"Apr 06, 2020",44.17,45.73,43.45,45.24,45.24
"Apr 03, 2020",51.11,52.29,46.74,46.80,46.80
"Apr 02, 2020",54.46,57.24,50.45,50.91,50.91
"Apr 01, 2020",57.38,60.59,52.76,57.06,57.06
"Mar 31, 2020",56.69,58.75,50.88,53.54,53.54
"Mar 30, 2020",66.30,67.69,56.60,57.08,57.08
"Mar 27, 2020",64.95,69.10,61.80,65.54,65.54
"Mar 26, 2020",65.67,67.06,57.66,61.00,61.00
"Mar 25, 2020",61.44,68.86,58.03,63.95,63.95
"Mar 24, 2020",58.76,61.88,36.24,61.67,61.67
"Mar 23, 2020",74.08,76.74,60.46,61.59,61.59
"Mar 20, 2020",67.86,69.51,57.42,66.04,66.04
